SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
N#CC(=O)c1ccccc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.245838,0.000205,19.904205,-573.095703,-3.389572,0.004929,17.443024,-836.203125,-2.671669,0.001181
N#CC(=O)c1ccccc1,CC(=O)Nc1ccc(C=O)cc1,0.271025,0.000233,17.591522,248.476562,-3.164963,0.005039,14.003204,-252.927734,-2.467735,0.003235
N#CC(=O)c1ccccc1,Cc1cccc(CO)c1,0.259373,0.000215,16.872375,46.707031,-3.168068,0.005786,15.614746,-297.263672,-2.620186,0.002758
N#CC(=O)c1ccccc1,COC(C)CO,0.253880,0.000207,17.576355,-235.726562,-3.153603,0.005290,17.347626,-631.007812,-2.739182,0.002039
N#CC(=O)c1ccccc1,Nc1nc(=O)c2ccccc2o1,0.265221,0.000214,17.408051,1021.382812,-3.055481,0.003470,10.710571,368.537109,-2.202339,0.004810
N#CC(=O)c1ccccc1,CC(Cl)Br,0.257299,0.000211,17.644287,-694.253906,-3.095184,0.005486,17.841125,-523.812500,-2.745819,0.001066
N#CC(=O)c1ccccc1,CCCOC(F)F,0.266743,0.000224,16.499939,-456.093750,-2.935127,0.005283,16.424225,-440.166016,-2.601883,0.001650
N#CC(=O)c1ccccc1,COC1CC2CCC1(C)C2(C)C,0.248888,0.000183,15.243561,-308.369141,-2.633095,0.004176,15.937775,-275.644531,-2.624283,0.002325
N#CC(=O)c1ccccc1,CCC(=O)C1=NCCC1,0.246475,0.000192,17.630402,-639.765625,-2.999847,0.004669,17.566650,-742.843750,-2.685120,0.000921
N#CC(=O)c1ccccc1,NC(CF)(CF)CF,0.255563,0.000208,17.224335,-278.851562,-3.173485,0.005921,16.950348,-556.134766,-2.609482,0.001705
N#CC(=O)c1ccccc1,CC(C)CCCC(C)CC=O,0.252616,0.000199,16.589539,-352.888672,-2.914528,0.004803,16.385834,-502.128906,-2.635895,0.002001
N#CC(=O)c1ccccc1,Cc1coc(C)n1,0.244139,0.000186,17.436951,-532.632812,-3.072296,0.005041,17.295990,-669.671875,-2.611588,0.001083
