SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Nc1ccc([N+](=O)[O-])cn1,O=P(Cl)(c1ccccc1)c1ccccc1,0.236295,0.000156,16.203369,-591.994141,-2.703178,0.004324,15.901184,-520.984375,-2.533096,0.001567
Nc1ccc([N+](=O)[O-])cn1,CC(=O)Nc1ccc(C=O)cc1,0.237467,0.000166,16.469788,-448.488281,-2.800293,0.004369,14.836090,-663.787109,-2.264519,0.001206
Nc1ccc([N+](=O)[O-])cn1,Cc1cccc(CO)c1,0.247634,0.000181,14.799957,-201.343750,-2.642319,0.004792,14.685669,-367.828125,-2.345459,0.001819
Nc1ccc([N+](=O)[O-])cn1,COC(C)CO,0.218631,0.000124,17.435333,-775.189453,-2.849976,0.003759,16.148773,-898.195312,-2.376999,0.000948
Nc1ccc([N+](=O)[O-])cn1,Nc1nc(=O)c2ccccc2o1,0.235492,0.000167,17.476807,-413.363281,-2.936378,0.004174,15.355713,-719.035156,-2.371429,0.001466
Nc1ccc([N+](=O)[O-])cn1,CC(Cl)Br,0.281215,0.000228,11.863098,-29.181641,-2.369179,0.006222,17.859985,1013.136719,-3.223373,0.003189
Nc1ccc([N+](=O)[O-])cn1,CCCOC(F)F,0.281959,0.000224,10.975311,256.949219,-2.156685,0.005318,16.399841,1108.880859,-3.146484,0.004081
Nc1ccc([N+](=O)[O-])cn1,COC1CC2CCC1(C)C2(C)C,0.239862,0.000137,11.075287,95.031250,-1.780479,0.002373,16.206482,725.953125,-2.930786,0.004518
Nc1ccc([N+](=O)[O-])cn1,CCC(=O)C1=NCCC1,0.226306,0.000121,14.684631,-907.410156,-2.347740,0.003093,18.406525,-153.572266,-2.843933,0.001760
Nc1ccc([N+](=O)[O-])cn1,NC(CF)(CF)CF,0.224606,0.000134,16.021698,-777.158203,-2.642349,0.003973,15.759613,-712.535156,-2.290611,0.000492
Nc1ccc([N+](=O)[O-])cn1,CC(C)CCCC(C)CC=O,0.246498,0.000156,13.080780,-253.496094,-2.149376,0.003219,15.965515,140.132812,-2.710732,0.003231
Nc1ccc([N+](=O)[O-])cn1,Cc1coc(C)n1,0.215155,0.000101,15.855927,-915.847656,-2.598557,0.003585,15.285919,-630.070312,-2.222885,0.001056
