SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Nc1ccc([N+](=O)[O-])cc1N,O=P(Cl)(c1ccccc1)c1ccccc1,0.237080,0.000151,15.630157,-357.816406,-2.599159,0.003879,15.734802,-428.769531,-2.571312,0.002313
Nc1ccc([N+](=O)[O-])cc1N,CC(=O)Nc1ccc(C=O)cc1,0.236828,0.000156,14.819305,-311.046875,-2.627525,0.004802,15.055023,-473.496094,-2.312401,0.001547
Nc1ccc([N+](=O)[O-])cc1N,Cc1cccc(CO)c1,0.243722,0.000166,13.471252,-61.388672,-2.528442,0.005203,15.173492,-38.787109,-2.477913,0.002327
Nc1ccc([N+](=O)[O-])cc1N,COC(C)CO,0.213704,0.000104,16.315948,-715.644531,-2.749756,0.003971,16.595276,-690.962891,-2.460472,0.001422
Nc1ccc([N+](=O)[O-])cc1N,Nc1nc(=O)c2ccccc2o1,0.241810,0.000173,16.166992,-368.365234,-2.807465,0.004683,16.382294,-596.189453,-2.535072,0.001558
Nc1ccc([N+](=O)[O-])cc1N,CC(Cl)Br,0.278565,0.000220,11.478149,74.822266,-2.300674,0.005777,17.571808,927.763672,-3.179985,0.003462
Nc1ccc([N+](=O)[O-])cc1N,CCCOC(F)F,0.269790,0.000202,10.694366,405.822266,-2.118561,0.004732,16.070190,1162.287109,-3.114357,0.004530
Nc1ccc([N+](=O)[O-])cc1N,COC1CC2CCC1(C)C2(C)C,0.216996,0.000102,9.957886,438.392578,-1.590767,0.001462,16.990662,1283.437500,-3.179192,0.004910
Nc1ccc([N+](=O)[O-])cc1N,CCC(=O)C1=NCCC1,0.221719,0.000108,14.104797,-865.228516,-2.196274,0.002210,19.133942,21.019531,-2.903885,0.002124
Nc1ccc([N+](=O)[O-])cc1N,NC(CF)(CF)CF,0.224532,0.000128,15.639282,-736.523438,-2.568886,0.003645,16.425446,-576.656250,-2.438080,0.000962
Nc1ccc([N+](=O)[O-])cc1N,CC(C)CCCC(C)CC=O,0.236464,0.000135,11.897491,36.271484,-2.002243,0.002724,16.971954,559.621094,-2.978012,0.004066
Nc1ccc([N+](=O)[O-])cc1N,Cc1coc(C)n1,0.212076,0.000091,14.417023,-852.253906,-2.451691,0.002955,16.837097,-247.251953,-2.342178,0.001638
Nc1ccc([N+](=O)[O-])cc1N,NC(=S)NC(N)=S,0.224606,0.000133,17.493225,-832.191406,-3.027519,0.004649,20.334106,-801.605469,-3.002823,0.001102
Nc1ccc([N+](=O)[O-])cc1N,FC(F)C(Cl)C(F)F,0.275797,0.000213,12.454895,7.208984,-2.385399,0.005615,16.468048,462.476562,-2.953163,0.003490
Nc1ccc([N+](=O)[O-])cc1N,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.204576,0.000085,7.048370,1503.865234,-1.386345,0.001543,14.108215,2539.527344,-3.154739,0.005156
Nc1ccc([N+](=O)[O-])cc1N,NNC(=O)c1ccccc1,0.236995,0.000160,16.136780,-539.134766,-2.828911,0.004863,17.044708,-646.792969,-2.530846,0.001086
