SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
N#Cc1ccc([N+](=O)[O-])cc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.241255,0.000193,19.323395,-600.492188,-3.233353,0.004564,17.604065,-865.394531,-2.735023,0.001160
N#Cc1ccc([N+](=O)[O-])cc1,CC(=O)Nc1ccc(C=O)cc1,0.264236,0.000226,17.553070,52.119141,-3.121170,0.004804,15.502655,-477.400391,-2.626007,0.002972
N#Cc1ccc([N+](=O)[O-])cc1,Cc1cccc(CO)c1,0.259108,0.000212,16.060242,87.292969,-3.033295,0.005633,15.433838,-254.892578,-2.622017,0.002931
N#Cc1ccc([N+](=O)[O-])cc1,COC(C)CO,0.249174,0.000198,17.769867,-282.703125,-3.109375,0.004835,17.361084,-693.152344,-2.759727,0.002031
N#Cc1ccc([N+](=O)[O-])cc1,Nc1nc(=O)c2ccccc2o1,0.265966,0.000223,17.420685,693.728516,-3.083267,0.003840,12.973785,-35.890625,-2.471619,0.004539
N#Cc1ccc([N+](=O)[O-])cc1,CC(Cl)Br,0.257777,0.000206,16.835663,-634.271484,-2.924088,0.005006,17.590302,-444.880859,-2.779419,0.001446
N#Cc1ccc([N+](=O)[O-])cc1,CCCOC(F)F,0.262515,0.000211,15.614655,-373.535156,-2.752029,0.004702,16.110413,-367.166016,-2.574440,0.002020
N#Cc1ccc([N+](=O)[O-])cc1,COC1CC2CCC1(C)C2(C)C,0.241206,0.000164,14.425903,-240.820312,-2.443710,0.003431,15.494965,-134.046875,-2.530830,0.002721
N#Cc1ccc([N+](=O)[O-])cc1,CCC(=O)C1=NCCC1,0.240468,0.000178,17.655029,-725.142578,-2.905609,0.004112,17.844574,-723.171875,-2.741043,0.000927
N#Cc1ccc([N+](=O)[O-])cc1,NC(CF)(CF)CF,0.253559,0.000204,17.155304,-326.060547,-3.064499,0.005281,16.889160,-633.214844,-2.611862,0.001610
N#Cc1ccc([N+](=O)[O-])cc1,CC(C)CCCC(C)CC=O,0.245180,0.000181,16.238953,-350.087891,-2.774277,0.004242,16.188629,-465.046875,-2.632751,0.002134
N#Cc1ccc([N+](=O)[O-])cc1,Cc1coc(C)n1,0.239901,0.000177,17.336548,-558.087891,-2.985039,0.004604,17.162537,-690.136719,-2.618393,0.001139
N#Cc1ccc([N+](=O)[O-])cc1,NC(=S)NC(N)=S,0.212018,0.000113,19.899902,-745.111328,-3.343086,0.004285,20.115143,-1003.068359,-2.937195,0.001459
N#Cc1ccc([N+](=O)[O-])cc1,FC(F)C(Cl)C(F)F,0.246567,0.000182,17.029083,-675.328125,-2.920013,0.004730,17.776367,-648.738281,-2.744850,0.001110
N#Cc1ccc([N+](=O)[O-])cc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.242171,0.000156,12.611420,471.410156,-2.127899,0.002823,14.075317,432.382812,-2.610428,0.004114
N#Cc1ccc([N+](=O)[O-])cc1,NNC(=O)c1ccccc1,0.264799,0.000225,17.212463,39.828125,-3.144768,0.005463,16.094360,-494.001953,-2.648247,0.002838
N#Cc1ccc([N+](=O)[O-])cc1,ClC=CBr,0.258015,0.000200,15.653687,-567.455078,-2.772644,0.004794,17.355896,-251.923828,-2.723297,0.001876
