SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
N#CN,O=P(Cl)(c1ccccc1)c1ccccc1,0.207944,0.000084,14.647705,-215.884766,-2.166893,0.002927,10.786743,-536.548828,-2.002373,0.003166
N#CN,CC(=O)Nc1ccc(C=O)cc1,0.209613,0.000099,15.547211,-462.244141,-2.486237,0.003574,10.484680,-816.775391,-1.742844,0.002007
N#CN,Cc1cccc(CO)c1,0.229982,0.000135,14.230927,-147.732422,-2.346413,0.003722,11.096588,-557.718750,-1.823463,0.002515
N#CN,COC(C)CO,0.188831,0.000048,17.003479,-966.265625,-2.604126,0.003612,10.794830,-1226.355469,-1.813873,0.001865
N#CN,Nc1nc(=O)c2ccccc2o1,0.207587,0.000107,17.169037,-537.435547,-2.743347,0.003535,11.667633,-949.832031,-1.885788,0.001661
N#CN,CC(Cl)Br,0.279655,0.000218,10.261078,427.376953,-2.004051,0.005018,14.794098,1243.757812,-2.947617,0.004583
N#CN,CCCOC(F)F,0.265952,0.000194,10.939423,356.263672,-1.862007,0.003403,15.110870,907.046875,-2.996353,0.005028
N#CN,COC1CC2CCC1(C)C2(C)C,0.216058,0.000079,10.570953,-35.769531,-1.501724,0.001741,10.264221,470.132812,-1.975670,0.004466
N#CN,CCC(=O)C1=NCCC1,0.203457,0.000062,13.671021,-1036.488281,-2.028641,0.003018,12.291107,-424.058594,-2.007988,0.002267
N#CN,NC(CF)(CF)CF,0.198793,0.000067,15.515167,-991.820312,-2.451721,0.003737,12.379944,-938.025391,-1.948280,0.001290
N#CN,CC(C)CCCC(C)CC=O,0.228003,0.000110,12.455658,-27.654297,-1.785370,0.002010,12.172058,71.289062,-2.240837,0.004322
N#CN,Cc1coc(C)n1,0.195957,0.000052,14.440125,-969.009766,-2.204254,0.003253,10.264709,-682.777344,-1.643127,0.001435
N#CN,NC(=S)NC(N)=S,0.242042,0.000187,17.856964,-438.296875,-2.915634,0.004148,19.099792,-868.562500,-3.124908,0.002032
N#CN,FC(F)C(Cl)C(F)F,0.289003,0.000235,11.266174,324.376953,-2.108200,0.005101,15.213409,618.884766,-2.952087,0.005074
N#CN,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.214286,0.000103,7.084412,1811.849609,-1.083740,-0.000350,13.318115,2481.507812,-3.185783,0.006956
N#CN,NNC(=O)c1ccccc1,0.197039,0.000083,17.781830,-850.296875,-2.778336,0.003374,12.504578,-1067.716797,-1.952576,0.001192
N#CN,ClC=CBr,0.266192,0.000190,8.806335,700.664062,-1.727005,0.004160,14.384277,1749.009766,-3.001602,0.004859
N#CN,CN(C)N=O,0.198327,0.000070,17.682709,-1141.828125,-2.791748,0.004075,15.567780,-1009.240234,-2.489929,0.001391
N#CN,c1ccc(C2CCCCC2)cc1,0.216607,0.000108,7.609894,1501.884766,-1.156769,0.000316,13.127167,2405.882812,-3.121170,0.006213
