SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
N#CC1CC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.251383,0.000211,19.123138,-310.052734,-3.277931,0.004849,16.683441,-768.355469,-2.683662,0.002009
N#CC1CC1,CC(=O)Nc1ccc(C=O)cc1,0.262255,0.000223,17.987396,109.289062,-3.147118,0.004639,15.110718,-536.548828,-2.615143,0.003348
N#CC1CC1,Cc1cccc(CO)c1,0.256437,0.000214,17.636200,-63.574219,-3.143272,0.005083,15.680573,-528.796875,-2.594635,0.002579
N#CC1CC1,COC(C)CO,0.257609,0.000216,17.614960,-121.501953,-3.177818,0.005419,16.972382,-613.365234,-2.742493,0.002487
N#CC1CC1,Nc1nc(=O)c2ccccc2o1,0.256950,0.000206,18.700470,798.812500,-3.129517,0.002996,11.761841,-67.888672,-2.385262,0.004989
N#CC1CC1,CC(Cl)Br,0.255327,0.000209,17.300873,-593.730469,-3.020088,0.005276,17.733093,-543.408203,-2.775558,0.001085
N#CC1CC1,CCCOC(F)F,0.263574,0.000218,16.525635,-381.814453,-2.887802,0.004917,16.082306,-466.835938,-2.604660,0.001947
N#CC1CC1,COC1CC2CCC1(C)C2(C)C,0.248560,0.000180,15.210571,-43.986328,-2.574821,0.003930,14.419861,-168.503906,-2.541664,0.003313
N#CC1CC1,CCC(=O)C1=NCCC1,0.254126,0.000208,17.602905,-427.218750,-2.988678,0.004558,16.454651,-635.917969,-2.631859,0.001729
N#CC1CC1,NC(CF)(CF)CF,0.255094,0.000212,17.931305,-268.353516,-3.222145,0.005657,17.030762,-654.169922,-2.675850,0.001913
N#CC1CC1,CC(C)CCCC(C)CC=O,0.253032,0.000194,15.848938,-38.316406,-2.793030,0.004696,15.338074,-322.376953,-2.653915,0.003070
N#CC1CC1,Cc1coc(C)n1,0.254094,0.000207,17.009766,-319.906250,-3.048553,0.005471,16.544739,-563.855469,-2.628128,0.001768
N#CC1CC1,NC(=S)NC(N)=S,0.202348,0.000100,21.555756,-816.390625,-3.408585,0.003666,18.835236,-1202.076172,-2.915421,0.001948
N#CC1CC1,FC(F)C(Cl)C(F)F,0.233688,0.000163,19.400543,-867.111328,-3.296043,0.004718,18.499939,-895.318359,-2.745285,0.000840
N#CC1CC1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.241945,0.000166,15.446960,112.009766,-2.439590,0.003075,14.766449,-284.330078,-2.642891,0.003301
N#CC1CC1,NNC(=O)c1ccccc1,0.265301,0.000228,17.814667,160.111328,-3.191360,0.004962,15.119171,-494.712891,-2.597305,0.003431
N#CC1CC1,ClC=CBr,0.251920,0.000194,16.958618,-643.181641,-2.934334,0.005051,17.559052,-454.435547,-2.770660,0.001329
N#CC1CC1,CN(C)N=O,0.256069,0.000216,18.502380,-365.326172,-3.254379,0.005183,17.132782,-741.134766,-2.659538,0.001720
N#CC1CC1,c1ccc(C2CCCCC2)cc1,0.259510,0.000198,15.072205,-54.105469,-2.606537,0.004322,14.852234,-145.593750,-2.640892,0.003374
N#CC1CC1,N#Cc1ccncc1,0.253439,0.000211,18.332092,-470.121094,-3.150055,0.004866,17.219269,-779.957031,-2.680885,0.001527
N#CC1CC1,CN(C)C(=S)Nc1ccccc1,0.224249,0.000157,20.345428,-834.947266,-3.298828,0.004037,17.574097,-1004.164062,-2.661011,0.000815
N#CC1CC1,CCC(N)CC,0.245324,0.000185,15.547211,-79.947266,-2.928055,0.005972,16.423737,-363.152344,-2.663757,0.002371
N#CC1CC1,COC(=O)CO,0.256846,0.000220,18.641113,-300.611328,-3.289597,0.005187,16.954346,-716.433594,-2.669029,0.001919
N#CC1CC1,Cc1c(N)cccc1Cl,0.237851,0.000180,18.968475,-619.634766,-3.173462,0.004458,17.596954,-853.464844,-2.727470,0.001175
N#CC1CC1,CC1CCC(C(C)(C)OO)CC1,0.244027,0.000189,17.622162,-250.220703,-2.981918,0.004327,15.404327,-666.880859,-2.488998,0.002048
N#CC1CC1,CC(F)(Cl)CF,0.256163,0.000213,17.731934,-550.308594,-3.087929,0.005234,17.332916,-635.867188,-2.710190,0.001179
N#CC1CC1,CCCCC1OC(C)CC(C)(C)O1,0.250112,0.000188,16.085968,-84.990234,-2.698189,0.003914,15.128204,-394.484375,-2.622429,0.003226
N#CC1CC1,CC(C)(C)OCC1CO1,0.256178,0.000210,17.200348,-313.318359,-2.987549,0.004771,16.304901,-579.677734,-2.666885,0.002227
N#CC1CC1,O=P(O)(O)OP(=O)(O)O,0.188572,0.000050,19.977081,-462.175781,-2.942566,0.003025,8.649536,-1144.242188,-1.702591,0.003837
N#CC1CC1,CC(=O)Nc1ccc(C)cc1,0.259455,0.000218,17.644043,-111.845703,-3.061859,0.004648,15.226532,-603.642578,-2.551010,0.002661
