SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
NC(=O)Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.188004,0.000064,19.396362,-883.574219,-2.912056,0.002859,13.136353,-1127.511719,-2.132446,0.001631
NC(=O)Cl,CC(=O)Nc1ccc(C=O)cc1,0.198389,0.000084,18.467316,-822.003906,-2.873405,0.003225,13.504395,-1094.929688,-2.133606,0.001532
NC(=O)Cl,Cc1cccc(CO)c1,0.223882,0.000135,16.799408,-404.253906,-2.733330,0.003515,13.302429,-750.861328,-2.120659,0.001983
NC(=O)Cl,COC(C)CO,0.182755,0.000042,19.243561,-1119.314453,-2.947166,0.003567,12.804016,-1315.548828,-2.100601,0.001675
NC(=O)Cl,Nc1nc(=O)c2ccccc2o1,0.203006,0.000101,19.097870,-754.505859,-3.010139,0.003399,13.811859,-1110.210938,-2.168236,0.001509
NC(=O)Cl,CC(Cl)Br,0.270408,0.000218,14.241547,-37.095703,-2.550529,0.004858,16.288422,106.406250,-2.881210,0.003294
NC(=O)Cl,CCCOC(F)F,0.266096,0.000207,13.925476,7.261719,-2.412376,0.004248,15.581146,83.003906,-2.787758,0.003601
NC(=O)Cl,COC1CC2CCC1(C)C2(C)C,0.208869,0.000073,14.500793,-722.181641,-2.182320,0.002799,11.438019,-385.335938,-1.886902,0.002486
NC(=O)Cl,CCC(=O)C1=NCCC1,0.180487,0.000029,18.244781,-1343.955078,-2.639420,0.003317,13.331116,-1075.701172,-2.171875,0.001291
NC(=O)Cl,NC(CF)(CF)CF,0.181893,0.000046,18.060730,-1288.490234,-2.814423,0.003446,13.143616,-1195.792969,-1.921310,0.000167
NC(=O)Cl,CC(C)CCCC(C)CC=O,0.210639,0.000088,15.964630,-621.152344,-2.443619,0.002768,13.564240,-596.345703,-2.180992,0.002381
NC(=O)Cl,Cc1coc(C)n1,0.169556,0.000013,18.883362,-1393.810547,-2.889786,0.003221,12.509857,-1227.626953,-1.797646,0.000449
NC(=O)Cl,NC(=S)NC(N)=S,0.240653,0.000188,18.501373,-281.691406,-3.173996,0.004727,19.591248,-821.964844,-3.065018,0.001965
NC(=O)Cl,FC(F)C(Cl)C(F)F,0.275096,0.000226,13.788635,180.994141,-2.517723,0.004863,15.535095,132.955078,-2.812149,0.003697
NC(=O)Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.229338,0.000135,9.974365,1558.238281,-1.754242,0.001345,12.208344,1641.023438,-2.810143,0.006155
NC(=O)Cl,NNC(=O)c1ccccc1,0.186524,0.000068,20.677155,-1166.291016,-3.184624,0.003454,15.409515,-1337.728516,-2.389061,0.001013
NC(=O)Cl,ClC=CBr,0.278027,0.000220,12.365845,180.238281,-2.299477,0.005050,14.876617,582.767578,-2.813812,0.004075
NC(=O)Cl,CN(C)N=O,0.173332,0.000025,21.415558,-1440.378906,-3.332253,0.004014,16.193878,-1356.978516,-2.481522,0.001058
NC(=O)Cl,c1ccc(C2CCCCC2)cc1,0.240984,0.000156,12.123444,772.664062,-1.970078,0.002014,13.817078,901.652344,-2.895828,0.005564
NC(=O)Cl,N#Cc1ccncc1,0.184391,0.000047,18.969879,-1327.769531,-2.870377,0.003554,15.365112,-1214.769531,-2.373940,0.000774
NC(=O)Cl,CN(C)C(=S)Nc1ccccc1,0.217768,0.000133,18.808350,-640.507812,-2.920822,0.003031,17.415985,-874.054688,-2.755280,0.001412
NC(=O)Cl,CCC(N)CC,0.157284,-0.000026,17.588379,-1409.300781,-2.888618,0.004045,8.340576,-1262.650391,-1.243828,0.000512
NC(=O)Cl,COC(=O)CO,0.195688,0.000084,20.094879,-1055.046875,-3.133026,0.003638,15.427734,-1230.931641,-2.411613,0.001088
NC(=O)Cl,Cc1c(N)cccc1Cl,0.232625,0.000158,16.463013,-355.285156,-2.661888,0.003554,14.917389,-625.601562,-2.375847,0.001677
NC(=O)Cl,CC1CCC(C(C)(C)OO)CC1,0.227559,0.000141,16.532837,-103.253906,-2.660446,0.002953,13.049377,-625.449219,-2.182564,0.003069
NC(=O)Cl,CC(F)(Cl)CF,0.270083,0.000220,14.492920,36.226562,-2.586235,0.004665,16.032318,42.318359,-2.852158,0.003490
NC(=O)Cl,CCCCC1OC(C)CC(C)(C)O1,0.192631,0.000045,15.936035,-905.228516,-2.332420,0.002563,10.862457,-806.873047,-1.744537,0.002195
NC(=O)Cl,CC(C)(C)OCC1CO1,0.188136,0.000047,18.101868,-1108.626953,-2.738602,0.003098,13.786896,-1048.082031,-2.107361,0.001352
NC(=O)Cl,O=P(O)(O)OP(=O)(O)O,0.219368,0.000127,18.244720,-211.591797,-3.032997,0.004426,13.896210,-899.931641,-2.275650,0.003148
NC(=O)Cl,CC(=O)Nc1ccc(C)cc1,0.205958,0.000099,17.521942,-745.767578,-2.760391,0.003326,13.153717,-921.939453,-2.048042,0.001286
NC(=O)Cl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.198703,0.000096,22.318146,-911.130859,-3.477547,0.003438,18.863434,-1275.150391,-2.981117,0.001834
NC(=O)Cl,CC(C)(O)CCC1CCCCC1,0.208480,0.000090,15.389160,-343.978516,-2.416763,0.002831,10.140442,-738.337891,-1.710609,0.002725
NC(=O)Cl,COCC(F)(F)F,0.242957,0.000163,14.780884,-403.785156,-2.424179,0.003862,15.355865,-272.511719,-2.516487,0.001933
NC(=O)Cl,COCC(O)COC,0.161677,-0.000002,21.289795,-1505.369141,-3.174980,0.003549,13.288239,-1559.546875,-2.155396,0.001474
NC(=O)Cl,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.208124,0.000106,18.743683,-430.287109,-2.863083,0.003114,13.497498,-1153.275391,-2.368996,0.003151
