SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
NCC(F)Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.248615,0.000197,18.006134,-61.718750,-3.071404,0.004322,16.563843,-671.396484,-2.729362,0.002589
NCC(F)Cl,CC(=O)Nc1ccc(C=O)cc1,0.219617,0.000129,17.746490,-562.513672,-3.003685,0.004405,12.187775,-891.861328,-1.917938,0.001466
NCC(F)Cl,Cc1cccc(CO)c1,0.228780,0.000151,17.508575,-545.945312,-2.940544,0.004245,13.775970,-794.078125,-2.135376,0.001253
NCC(F)Cl,COC(C)CO,0.231659,0.000164,18.624298,-597.496094,-3.091469,0.004243,15.721069,-898.400391,-2.434067,0.001338
NCC(F)Cl,Nc1nc(=O)c2ccccc2o1,0.219518,0.000136,19.507843,-321.240234,-3.124382,0.003401,13.682373,-953.867188,-2.202499,0.002435
NCC(F)Cl,CC(Cl)Br,0.259624,0.000209,15.760956,-337.943359,-2.764854,0.004869,16.756500,-377.421875,-2.677429,0.001650
NCC(F)Cl,CCCOC(F)F,0.269192,0.000223,15.159698,-161.142578,-2.676102,0.004810,15.846100,-350.992188,-2.658730,0.002509
NCC(F)Cl,COC1CC2CCC1(C)C2(C)C,0.257082,0.000192,14.770844,120.468750,-2.450111,0.003404,14.936676,-215.615234,-2.644417,0.003656
NCC(F)Cl,CCC(=O)C1=NCCC1,0.251726,0.000197,16.754639,-332.173828,-2.800056,0.004073,16.882751,-631.777344,-2.743301,0.002130
NCC(F)Cl,NC(CF)(CF)CF,0.246814,0.000198,18.262939,-431.931641,-3.087616,0.004361,17.379181,-781.255859,-2.702599,0.001564
NCC(F)Cl,CC(C)CCCC(C)CC=O,0.255851,0.000197,15.765869,60.703125,-2.652428,0.003867,15.652496,-391.867188,-2.715912,0.003226
NCC(F)Cl,Cc1coc(C)n1,0.248999,0.000196,17.081390,-400.574219,-2.913582,0.004398,16.998291,-695.861328,-2.652206,0.001549
NCC(F)Cl,NC(=S)NC(N)=S,0.189870,0.000064,19.943634,-969.970703,-3.080849,0.003429,12.881256,-1342.371094,-1.994232,0.001935
NCC(F)Cl,FC(F)C(Cl)C(F)F,0.249469,0.000187,16.612793,-540.130859,-2.849495,0.004777,16.669952,-614.021484,-2.609276,0.001330
NCC(F)Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.239696,0.000152,14.010895,298.341797,-2.231544,0.002824,13.711578,-102.613281,-2.465195,0.003523
NCC(F)Cl,NNC(=O)c1ccccc1,0.242812,0.000189,19.138092,-382.070312,-3.175423,0.004143,15.951202,-890.707031,-2.543381,0.002236
NCC(F)Cl,ClC=CBr,0.264926,0.000212,14.862671,-282.144531,-2.637421,0.004973,16.502686,-227.988281,-2.695496,0.002045
NCC(F)Cl,CN(C)N=O,0.249742,0.000202,18.357574,-385.539062,-3.178284,0.004820,17.960815,-814.513672,-2.798256,0.001810
NCC(F)Cl,c1ccc(C2CCCCC2)cc1,0.266099,0.000204,14.029877,332.376953,-2.428116,0.003836,14.382629,-20.746094,-2.673386,0.004308
NCC(F)Cl,N#Cc1ccncc1,0.247427,0.000196,18.013031,-486.849609,-3.022781,0.004399,17.506378,-813.232422,-2.734642,0.001576
NCC(F)Cl,CN(C)C(=S)Nc1ccccc1,0.193801,0.000080,18.712158,-963.902344,-2.997604,0.003608,13.171448,-1099.470703,-1.938148,0.000583
NCC(F)Cl,CCC(N)CC,0.241287,0.000179,16.862732,-338.718750,-2.837280,0.004064,16.856598,-732.566406,-2.641121,0.001820
NCC(F)Cl,COC(=O)CO,0.220480,0.000139,18.762573,-758.593750,-3.155861,0.004496,14.185394,-970.257812,-2.138222,0.000875
NCC(F)Cl,Cc1c(N)cccc1Cl,0.231504,0.000163,17.996765,-570.419922,-2.940140,0.003860,16.526825,-792.386719,-2.549271,0.001077
NCC(F)Cl,CC1CCC(C(C)(C)OO)CC1,0.208265,0.000108,16.948853,-673.775391,-2.763390,0.003761,12.060028,-894.412109,-1.856628,0.000955
NCC(F)Cl,CC(F)(Cl)CF,0.262589,0.000219,16.311523,-257.144531,-2.890686,0.005042,16.207092,-528.132812,-2.583260,0.001791
NCC(F)Cl,CCCCC1OC(C)CC(C)(C)O1,0.255275,0.000193,15.376770,46.750000,-2.541748,0.003508,15.731476,-384.720703,-2.738800,0.003445
NCC(F)Cl,CC(C)(C)OCC1CO1,0.257163,0.000208,16.518433,-249.671875,-2.829102,0.004344,16.684448,-592.419922,-2.719078,0.002287
NCC(F)Cl,O=P(O)(O)OP(=O)(O)O,0.117276,-0.000103,23.158783,-1533.605469,-3.771362,0.007090,-1.102905,-1733.947266,-0.580009,0.002544
NCC(F)Cl,CC(=O)Nc1ccc(C)cc1,0.221578,0.000136,17.621735,-653.851562,-2.952126,0.004294,12.886108,-873.882812,-1.993942,0.001083
NCC(F)Cl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.247384,0.000195,19.127655,-89.705078,-3.206139,0.004109,16.059235,-621.421875,-2.583191,0.002151
NCC(F)Cl,CC(C)(O)CCC1CCCCC1,0.231699,0.000153,16.676270,-276.847656,-2.756470,0.003852,13.642090,-723.876953,-2.221138,0.002114
NCC(F)Cl,COCC(F)(F)F,0.265441,0.000220,15.722595,-223.699219,-2.770828,0.004834,15.906189,-438.371094,-2.585953,0.002024
NCC(F)Cl,COCC(O)COC,0.233842,0.000176,19.311707,-673.218750,-3.178886,0.004217,17.627747,-954.664062,-2.711090,0.001113
NCC(F)Cl,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.221645,0.000150,19.968994,-322.904297,-3.154747,0.003139,15.576813,-1042.304688,-2.548996,0.002740
NCC(F)Cl,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.179839,0.000055,20.276611,-1167.107422,-3.262611,0.003818,12.990173,-1319.009766,-1.909378,0.000439
NCC(F)Cl,CC(C)C(F)F,0.272318,0.000226,14.779633,-126.179688,-2.644371,0.004956,15.466614,-275.248047,-2.622864,0.002709
NCC(F)Cl,CCCCC1C=C(C)CC(C)O1,0.253781,0.000187,15.041718,121.755859,-2.463829,0.003261,15.178284,-231.376953,-2.689964,0.003568
NCC(F)Cl,COc1ccc(C(C)=O)cc1,0.256616,0.000211,17.223999,-237.585938,-2.983788,0.004628,16.529510,-682.875000,-2.656425,0.002169
NCC(F)Cl,Oc1cc(O)ncn1,0.184336,0.000053,18.881348,-848.527344,-3.177368,0.004152,9.590393,-1162.531250,-1.512360,0.001095
NCC(F)Cl,COCCCCl,0.263120,0.000214,15.737427,-243.802734,-2.742645,0.004585,16.183685,-471.220703,-2.649574,0.002251
NCC(F)Cl,CCCOC,0.256814,0.000198,15.291809,-220.824219,-2.620239,0.004114,15.999512,-400.082031,-2.635910,0.002506
NCC(F)Cl,Fc1c(F)c(F)c(F)c(F)c1F,0.258878,0.000191,13.878845,160.371094,-2.415054,0.004138,14.812439,-76.869141,-2.611221,0.003359
NCC(F)Cl,CCP(CC)CC,0.260171,0.000197,14.498657,-24.214844,-2.427246,0.003556,15.306213,-210.656250,-2.649445,0.003445
NCC(F)Cl,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.249465,0.000183,15.655060,173.884766,-2.552467,0.003202,16.227692,-443.078125,-2.854401,0.003882
NCC(F)Cl,Fc1cc(F)c(F)cc1F,0.266147,0.000210,14.474548,-90.609375,-2.550529,0.004666,15.544220,-240.664062,-2.626297,0.002719
NCC(F)Cl,CCCCc1ccc(C(=O)O)cc1,0.200107,0.000088,16.931091,-822.898438,-2.793625,0.003993,11.680054,-944.062500,-1.766525,0.000504
NCC(F)Cl,C=Cc1c(C)cc(C)cc1C,0.264821,0.000205,14.478241,229.341797,-2.507561,0.004035,14.785980,-133.853516,-2.675591,0.003922
NCC(F)Cl,C=C(C)C(=O)OC(C)(C)C,0.258356,0.000206,16.072388,-77.083984,-2.756065,0.004280,15.843750,-466.107422,-2.676353,0.002744
NCC(F)Cl,FC1CCCN1,0.244528,0.000196,18.500641,-515.990234,-3.128296,0.004444,18.234314,-802.492188,-2.800797,0.001173
NCC(F)Cl,CCCCCCCC(=O)NC,0.238415,0.000174,17.818207,-246.433594,-2.934143,0.003780,15.607208,-790.789062,-2.533821,0.002363
NCC(F)Cl,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.254673,0.000185,13.708405,507.820312,-2.396103,0.003737,14.397675,44.128906,-2.679512,0.004180
NCC(F)Cl,C1=CC2C=CC1C2,0.269050,0.000210,13.904846,27.867188,-2.472511,0.004566,15.238464,-55.000000,-2.700684,0.003508
NCC(F)Cl,CCC(C)(O)CCC=C(C)C,0.228035,0.000146,16.784515,-361.263672,-2.778671,0.003901,13.411530,-761.373047,-2.154884,0.001884
NCC(F)Cl,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.219196,0.000137,16.434540,1276.855469,-2.430519,0.001047,16.410339,-20.427734,-3.377892,0.006049
NCC(F)Cl,CCC(C)CCF,0.267857,0.000211,14.339020,98.453125,-2.524315,0.004345,14.880371,-177.457031,-2.631783,0.003530
NCC(F)Cl,C=Cc1cccc(CC)c1,0.266274,0.000208,14.546448,176.951172,-2.527367,0.004171,14.922455,-173.812500,-2.674751,0.003776
NCC(F)Cl,CC(C)(C(O)(F)F)C(F)(F)F,0.131182,-0.000061,20.491058,-1832.869141,-3.387108,0.004640,7.747345,-1504.283203,-1.167709,-0.001057
NCC(F)Cl,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.261603,0.000196,14.078430,105.351562,-2.431313,0.004063,14.871948,-163.873047,-2.610474,0.003482
NCC(F)Cl,CCN(CC)c1ccc(N)cc1,0.244643,0.000195,18.638092,-216.474609,-3.108612,0.004005,17.486786,-792.810547,-2.828857,0.002321
NCC(F)Cl,FC(F)CC(F)(F)F,0.264480,0.000215,15.445679,-144.773438,-2.734688,0.004888,15.567902,-388.785156,-2.534920,0.002115
NCC(F)Cl,N#CCCOCCC#N,0.248615,0.000202,19.354523,-237.521484,-3.258690,0.004359,16.789337,-727.632812,-2.681450,0.002021
NCC(F)Cl,CCC(C)C(C)C(C)C,0.253766,0.000175,12.467468,505.496094,-2.171089,0.003264,13.624542,428.496094,-2.689117,0.004952
NCC(F)Cl,Cn1c(=O)ccc2ccccc21,0.246846,0.000194,17.976929,-350.332031,-3.037659,0.004292,17.492920,-781.478516,-2.755432,0.001877
NCC(F)Cl,CCOC(=O)c1ccccc1N,0.234021,0.000169,18.104767,-575.429688,-2.962234,0.003898,16.132568,-828.414062,-2.490997,0.001216
NCC(F)Cl,ClC1CN2CCC1CC2,0.249442,0.000189,16.030457,-278.183594,-2.689621,0.003919,16.604828,-588.623047,-2.654251,0.001974
NCC(F)Cl,CC=CCCCCCCCC#N,0.255795,0.000204,16.495789,83.384766,-2.824821,0.004266,15.974152,-550.929688,-2.728867,0.003091
NCC(F)Cl,COCCl,0.261392,0.000219,16.542419,-294.505859,-2.943939,0.005147,16.387512,-541.556641,-2.586678,0.001575
NCC(F)Cl,NCCc1cccnc1,0.246342,0.000202,19.269196,-363.253906,-3.231674,0.004319,18.157898,-949.259766,-2.893402,0.002302
NCC(F)Cl,Cc1cccc(C(=O)O)c1,0.194867,0.000079,17.714630,-979.818359,-2.943954,0.004103,11.954224,-999.587891,-1.746460,0.000086
NCC(F)Cl,C=CCNC,0.246091,0.000189,16.865814,-397.107422,-2.855759,0.004241,17.014587,-718.210938,-2.651970,0.001628
NCC(F)Cl,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.231696,0.000139,12.185516,785.617188,-2.073654,0.002536,13.512115,587.933594,-2.681198,0.004607
NCC(F)Cl,CC(CO)C(F)(F)F,0.230926,0.000154,17.256104,-588.357422,-2.939331,0.004524,13.755402,-786.089844,-2.120956,0.001081
NCC(F)Cl,CC(C)C(=O)C(F)(F)F,0.260687,0.000206,15.566650,-71.697266,-2.665642,0.004282,15.598175,-327.859375,-2.652832,0.002700
NCC(F)Cl,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.242618,0.000158,14.068817,399.824219,-2.290703,0.003013,15.478516,16.593750,-2.814400,0.004124
NCC(F)Cl,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.254629,0.000196,15.887634,483.939453,-2.680267,0.003552,15.791046,-376.146484,-2.906143,0.004604
NCC(F)Cl,C=CCN(C)CC=C,0.257653,0.000194,14.250000,-171.773438,-2.417168,0.003579,16.262878,-333.746094,-2.651001,0.002764
NCC(F)Cl,COCC(F)C(F)(F)F,0.264342,0.000215,15.454681,-175.121094,-2.702194,0.004647,15.896027,-427.687500,-2.610542,0.002259
NCC(F)Cl,CNC(C)(C)C,0.241885,0.000176,16.306030,-388.763672,-2.686012,0.003617,16.727081,-625.785156,-2.624649,0.001754
NCC(F)Cl,C1COCCOCCOCCO1,0.240534,0.000180,17.796021,-445.537109,-2.990273,0.004203,18.322235,-884.826172,-2.884293,0.001828
NCC(F)Cl,O=NF,0.244495,0.000195,18.405457,-401.660156,-3.212448,0.004837,17.464722,-620.226562,-2.614365,0.001085
NCC(F)Cl,CCN(CC)CCN,0.239669,0.000179,17.715485,-419.685547,-2.933083,0.003975,17.602600,-909.609375,-2.778290,0.002019
NCC(F)Cl,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.259016,0.000190,13.645477,423.585938,-2.343971,0.003511,14.348602,81.542969,-2.702965,0.004368
NCC(F)Cl,CC(=O)Nc1ccc(Br)cc1,0.211247,0.000114,17.660339,-663.716797,-2.940231,0.004152,11.851837,-888.080078,-1.833504,0.000990
NCC(F)Cl,c1ccc(COc2ccccc2)cc1,0.258052,0.000200,15.677338,95.148438,-2.681473,0.004083,15.546967,-323.091797,-2.720413,0.003193
NCC(F)Cl,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.245243,0.000163,12.845337,405.070312,-2.196068,0.003317,14.181152,219.787109,-2.645370,0.003988
NCC(F)Cl,CC(C)(C)OCF,0.262321,0.000215,15.975006,-210.251953,-2.792961,0.004665,16.072510,-491.029297,-2.624435,0.002208
NCC(F)Cl,OCCCCOC1CCCO1,0.235562,0.000172,18.352325,-501.093750,-3.041222,0.004122,16.468597,-895.875000,-2.587715,0.001688
NCC(F)Cl,OCCCCC(O)CO,0.225968,0.000146,18.571228,-206.720703,-3.140030,0.004257,13.654694,-913.724609,-2.202049,0.002892
NCC(F)Cl,CC(C)C(=O)C(=O)O,0.210868,0.000114,17.456390,-886.916016,-2.929604,0.004306,14.257111,-937.523438,-2.105370,0.000232
NCC(F)Cl,N#CCl,0.244764,0.000189,17.399261,-419.125000,-3.005371,0.004600,17.436554,-683.218750,-2.648491,0.001219
NCC(F)Cl,CC(C)(C)CCO,0.236833,0.000163,16.520203,-359.117188,-2.778038,0.004147,13.744873,-697.931641,-2.188644,0.001768
NCC(F)Cl,CCc1cc(C(N)=S)ccn1,0.207351,0.000112,18.832428,-634.859375,-3.015663,0.003429,13.655762,-1069.078125,-2.104202,0.001601
NCC(F)Cl,CCCCCCCCCCCCC(N)=O,0.235599,0.000168,17.584015,213.177734,-2.871620,0.003103,15.437836,-619.808594,-2.696747,0.003686
NCC(F)Cl,CCOc1ccccc1F,0.260101,0.000208,15.890381,-81.496094,-2.730598,0.004365,15.796356,-415.312500,-2.667732,0.002606
NCC(F)Cl,CCCCCCCCCCCCCCCC(=O)O,0.201944,0.000091,16.293823,-420.410156,-2.595078,0.003324,11.765686,-789.146484,-1.905251,0.001469
NCC(F)Cl,CC=CCCCCCC,0.254889,0.000179,13.057373,451.376953,-2.242912,0.003337,13.862061,298.878906,-2.687431,0.004661
NCC(F)Cl,FC1CCCC1F,0.265079,0.000224,16.092346,-207.457031,-2.871521,0.005106,16.055054,-518.539062,-2.587555,0.001929
NCC(F)Cl,CCC(=O)OCc1ccccc1,0.258347,0.000209,16.532532,-81.263672,-2.859146,0.004516,15.943024,-528.074219,-2.674301,0.002591
NCC(F)Cl,COC(=O)CCC(C)C(=O)OC,0.255779,0.000212,17.445374,-283.902344,-3.013840,0.004715,16.883759,-724.886719,-2.729790,0.002098
NCC(F)Cl,COC(=O)C1CCCCC1,0.257878,0.000207,16.353119,-156.296875,-2.802887,0.004328,16.072540,-513.167969,-2.679878,0.002547
NCC(F)Cl,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,0.205762,0.000108,19.025665,-216.929688,-3.078796,0.003639,12.576996,-1080.167969,-2.197067,0.003136
NCC(F)Cl,CCOCCC(C)CCCC(C)C,0.252711,0.000180,14.556488,369.650391,-2.346741,0.002795,14.571136,-99.816406,-2.716682,0.004545
NCC(F)Cl,CC(N)C(C)(C)C,0.239620,0.000177,17.040558,-331.654297,-2.814445,0.003736,16.584808,-739.058594,-2.618660,0.001884
NCC(F)Cl,CCC(=O)CC(C)CC,0.254157,0.000200,16.368805,-151.312500,-2.747047,0.003958,16.184814,-521.488281,-2.696800,0.002626
NCC(F)Cl,CCC(=O)Cc1ccccc1,0.258390,0.000211,16.691742,-107.583984,-2.890839,0.004576,15.944672,-573.195312,-2.649376,0.002476
NCC(F)Cl,CCCCCC=CCC=CCCCCCCCC(=O)O,0.200296,0.000090,16.710663,-483.330078,-2.672211,0.003436,11.880676,-840.406250,-1.919350,0.001345
NCC(F)Cl,C=CCOC(=O)COc1ccccc1,0.255815,0.000206,16.981445,-51.058594,-2.925606,0.004507,16.049377,-578.466797,-2.694160,0.002577
NCC(F)Cl,CC(C)CCN=C=S,0.264411,0.000215,15.577698,44.732422,-2.705261,0.004426,15.345398,-373.751953,-2.659111,0.003071
NCC(F)Cl,CC1=CCC(C=CC(C)C(C)O)C1(C)C,0.229876,0.000150,16.756897,-257.050781,-2.738556,0.003669,14.090790,-749.421875,-2.299225,0.002243
NCC(F)Cl,CCCCCCCCCCCCCCCCC1CCCC1,0.224678,0.000129,12.641479,1244.939453,-1.911942,0.000446,12.743805,734.140625,-2.795502,0.006466
NCC(F)Cl,CCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC,0.227185,0.000150,16.213776,1115.226562,-2.543655,0.001664,16.164093,-72.945312,-3.245918,0.006007
NCC(F)Cl,FC(F)(F)C(F)(F)C(F)(F)C(F)(Cl)Cl,0.246264,0.000165,12.911499,432.078125,-2.214592,0.003291,14.128662,221.525391,-2.654434,0.004085
NCC(F)Cl,C=CC(C)(CCC=C(C)C)OC(=O)Cc1ccccc1,0.256257,0.000202,16.234314,268.435547,-2.739677,0.003803,15.619507,-356.531250,-2.829399,0.003789
NCC(F)Cl,CCCCC(=O)CCC,0.254643,0.000200,16.263885,-114.673828,-2.745834,0.004036,16.139038,-527.720703,-2.691475,0.002687
NCC(F)Cl,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,0.208936,0.000121,19.973053,-538.722656,-3.172775,0.003395,14.094482,-1120.654297,-2.229813,0.002099
NCC(F)Cl,CC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.248600,0.000175,13.623535,583.208984,-2.381744,0.003555,14.203064,128.357422,-2.683121,0.004316
NCC(F)Cl,CCN(C)CC,0.252362,0.000182,13.960022,-197.478516,-2.383469,0.003185,16.629150,-293.578125,-2.566330,0.002688
