SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=Cc1ccncc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.253682,0.000215,18.816650,-436.644531,-3.238594,0.004922,17.106781,-785.259766,-2.686378,0.001636
O=Cc1ccncc1,CC(=O)Nc1ccc(C=O)cc1,0.235003,0.000165,18.235626,-590.867188,-3.086838,0.004574,14.283234,-839.298828,-2.198074,0.001304
O=Cc1ccncc1,Cc1cccc(CO)c1,0.235091,0.000170,18.211639,-608.851562,-3.061188,0.004384,15.395020,-751.177734,-2.326096,0.000863
O=Cc1ccncc1,COC(C)CO,0.246150,0.000193,18.031281,-430.017578,-3.118500,0.004697,16.453552,-738.416016,-2.547112,0.001452
O=Cc1ccncc1,Nc1nc(=O)c2ccccc2o1,0.227650,0.000146,19.698425,-91.720703,-3.111748,0.003169,11.245728,-611.001953,-1.904259,0.002398
O=Cc1ccncc1,CC(Cl)Br,0.264024,0.000219,16.118286,-540.548828,-2.907494,0.005652,18.371704,-391.554688,-2.915405,0.001351
O=Cc1ccncc1,CCCOC(F)F,0.272322,0.000229,15.385742,-308.398438,-2.767113,0.005313,16.611969,-342.509766,-2.749641,0.002282
O=Cc1ccncc1,COC1CC2CCC1(C)C2(C)C,0.258506,0.000196,15.092255,-41.628906,-2.551079,0.003895,14.938385,-289.160156,-2.599594,0.003330
O=Cc1ccncc1,CCC(=O)C1=NCCC1,0.256426,0.000210,17.064636,-450.865234,-2.935020,0.004713,16.696381,-625.367188,-2.644173,0.001559
O=Cc1ccncc1,NC(CF)(CF)CF,0.251157,0.000201,17.514496,-385.283203,-3.062294,0.004858,16.714905,-656.146484,-2.574852,0.001408
O=Cc1ccncc1,CC(C)CCCC(C)CC=O,0.261238,0.000209,15.879181,-92.408203,-2.744453,0.004405,15.605530,-458.759766,-2.658546,0.002957
O=Cc1ccncc1,Cc1coc(C)n1,0.253923,0.000208,17.361481,-426.605469,-3.028999,0.004939,16.687714,-667.832031,-2.592377,0.001345
O=Cc1ccncc1,NC(=S)NC(N)=S,0.177375,0.000025,19.987396,-1276.021484,-3.148689,0.003395,13.993011,-1293.396484,-1.916740,0.001175
O=Cc1ccncc1,FC(F)C(Cl)C(F)F,0.246252,0.000180,17.405975,-805.515625,-3.041733,0.005155,19.334503,-648.992188,-2.936478,0.001023
O=Cc1ccncc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.246228,0.000166,13.841766,292.273438,-2.234344,0.002992,15.102844,-0.451172,-2.734772,0.003679
O=Cc1ccncc1,NNC(=O)c1ccccc1,0.250236,0.000200,18.880859,-213.142578,-3.160873,0.004183,15.218109,-661.250000,-2.462242,0.002018
O=Cc1ccncc1,ClC=CBr,0.262788,0.000208,15.466187,-550.207031,-2.772865,0.005440,18.102173,-307.884766,-2.901382,0.001699
O=Cc1ccncc1,CN(C)N=O,0.256395,0.000214,18.100464,-382.564453,-3.217003,0.005259,17.118469,-688.138672,-2.617256,0.001584
O=Cc1ccncc1,c1ccc(C2CCCCC2)cc1,0.266902,0.000209,14.783447,-39.154297,-2.558800,0.004381,15.174072,-217.789062,-2.676163,0.003446
O=Cc1ccncc1,N#Cc1ccncc1,0.248697,0.000202,18.340271,-605.234375,-3.136551,0.004800,17.587799,-760.324219,-2.648857,0.000867
O=Cc1ccncc1,CN(C)C(=S)Nc1ccccc1,0.197513,0.000091,19.746002,-1239.437500,-3.121445,0.003629,15.597290,-1119.154297,-2.200035,-0.000149
