SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=CC1CC=CCC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.249549,0.000212,20.310211,-508.917969,-3.412468,0.004780,16.577118,-810.355469,-2.597740,0.001363
O=CC1CC=CCC1,CC(=O)Nc1ccc(C=O)cc1,0.253994,0.000205,19.182800,-53.638672,-3.210846,0.004111,13.669159,-565.843750,-2.296951,0.002483
O=CC1CC=CCC1,Cc1cccc(CO)c1,0.248794,0.000205,18.948944,-337.017578,-3.248978,0.004631,15.895172,-714.406250,-2.508148,0.001748
O=CC1CC=CCC1,COC(C)CO,0.257585,0.000218,18.080994,-217.019531,-3.250031,0.005416,16.984070,-656.546875,-2.665672,0.002074
O=CC1CC=CCC1,Nc1nc(=O)c2ccccc2o1,0.239422,0.000168,20.180939,600.033203,-3.104492,0.002122,9.867371,-164.365234,-1.949272,0.004015
O=CC1CC=CCC1,CC(Cl)Br,0.251454,0.000209,18.303772,-661.529297,-3.177048,0.005338,17.736725,-696.185547,-2.696709,0.000575
O=CC1CC=CCC1,CCCOC(F)F,0.262711,0.000225,17.363647,-482.412109,-3.066429,0.005360,16.704742,-602.695312,-2.614738,0.001258
O=CC1CC=CCC1,COC1CC2CCC1(C)C2(C)C,0.259936,0.000213,16.676453,-230.517578,-2.909348,0.004848,15.382782,-484.492188,-2.567665,0.002480
O=CC1CC=CCC1,CCC(=O)C1=NCCC1,0.255627,0.000217,18.471039,-474.023438,-3.200897,0.005091,16.674377,-723.404297,-2.601883,0.001366
O=CC1CC=CCC1,NC(CF)(CF)CF,0.252614,0.000207,18.263641,-262.060547,-3.297668,0.005580,16.644714,-591.832031,-2.548485,0.001779
O=CC1CC=CCC1,CC(C)CCCC(C)CC=O,0.261495,0.000222,17.340729,-246.964844,-3.077248,0.005346,15.997986,-632.101562,-2.605438,0.002175
O=CC1CC=CCC1,Cc1coc(C)n1,0.255643,0.000216,18.464752,-402.246094,-3.291183,0.005635,17.091766,-692.312500,-2.647949,0.001494
O=CC1CC=CCC1,NC(=S)NC(N)=S,0.206666,0.000100,20.635101,-609.525391,-3.268280,0.003738,15.798615,-961.390625,-2.401917,0.001879
O=CC1CC=CCC1,FC(F)C(Cl)C(F)F,0.232196,0.000166,20.092682,-934.650391,-3.405174,0.004674,18.750092,-894.871094,-2.701607,0.000415
O=CC1CC=CCC1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.237245,0.000166,16.353607,-93.464844,-2.636505,0.003572,15.098816,-493.148438,-2.534332,0.002079
