SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=COc1ccccc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.248340,0.000209,19.814911,-393.181641,-3.374413,0.004737,16.990784,-830.238281,-2.683472,0.001827
O=COc1ccccc1,CC(=O)Nc1ccc(C=O)cc1,0.267734,0.000230,17.814850,219.683594,-3.157890,0.004774,14.288574,-373.972656,-2.508965,0.003422
O=COc1ccccc1,Cc1cccc(CO)c1,0.263671,0.000227,17.542267,35.244141,-3.203735,0.005428,15.501099,-436.105469,-2.593033,0.002870
O=COc1ccccc1,COC(C)CO,0.255154,0.000210,17.786957,-192.140625,-3.180984,0.005227,16.957855,-658.236328,-2.684990,0.002207
O=COc1ccccc1,Nc1nc(=O)c2ccccc2o1,0.259879,0.000206,18.248138,801.787109,-3.096733,0.003285,10.863373,21.232422,-2.208260,0.004830
O=COc1ccccc1,CC(Cl)Br,0.262620,0.000223,16.897705,-464.332031,-3.036896,0.005581,17.072266,-524.876953,-2.657959,0.001198
O=COc1ccccc1,CCCOC(F)F,0.269392,0.000231,16.281067,-299.460938,-2.913513,0.005337,15.905334,-462.021484,-2.580978,0.001903
O=COc1ccccc1,COC1CC2CCC1(C)C2(C)C,0.250727,0.000190,15.822845,-190.056641,-2.706917,0.004197,15.359772,-372.658203,-2.579163,0.002561
O=COc1ccccc1,CCC(=O)C1=NCCC1,0.251067,0.000203,17.724091,-472.408203,-3.048988,0.004798,16.852142,-733.875000,-2.623764,0.001386
O=COc1ccccc1,NC(CF)(CF)CF,0.256684,0.000211,17.385101,-205.298828,-3.174553,0.005719,16.664246,-573.435547,-2.608627,0.002014
O=COc1ccccc1,CC(C)CCCC(C)CC=O,0.254744,0.000206,16.829712,-209.656250,-2.949074,0.004838,15.980255,-569.037109,-2.618004,0.002197
O=COc1ccccc1,Cc1coc(C)n1,0.251372,0.000203,17.654877,-404.117188,-3.125961,0.005272,16.961578,-659.476562,-2.623451,0.001433
O=COc1ccccc1,NC(=S)NC(N)=S,0.231750,0.000156,18.522003,-245.609375,-3.235527,0.004843,18.224518,-686.929688,-2.744125,0.002054
O=COc1ccccc1,FC(F)C(Cl)C(F)F,0.250136,0.000200,17.969757,-591.683594,-3.114502,0.005089,17.298065,-701.580078,-2.653107,0.000940
