SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Oc1cccc(I)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.184306,0.000068,21.552795,-1243.173828,-3.373871,0.003575,14.598938,-1272.390625,-2.165009,0.000453
Oc1cccc(I)c1,CC(=O)Nc1ccc(C=O)cc1,0.175738,0.000036,20.712006,-1138.941406,-3.354698,0.003795,12.440125,-1300.976562,-1.868332,0.001032
Oc1cccc(I)c1,Cc1cccc(CO)c1,0.197449,0.000089,19.794128,-994.417969,-3.215088,0.003738,14.016541,-1048.177734,-2.041061,0.000558
Oc1cccc(I)c1,COC(C)CO,0.166559,0.000016,22.463593,-1389.681641,-3.385468,0.003552,13.965759,-1523.589844,-2.243675,0.001617
Oc1cccc(I)c1,Nc1nc(=O)c2ccccc2o1,0.189835,0.000075,19.692322,-851.515625,-3.151428,0.003590,11.521729,-1102.474609,-1.711563,0.001017
Oc1cccc(I)c1,CC(Cl)Br,0.267616,0.000226,15.190369,-237.712891,-2.874222,0.006292,15.945953,30.781250,-2.629036,0.001161
Oc1cccc(I)c1,CCCOC(F)F,0.255662,0.000205,15.860229,-325.562500,-2.779938,0.004982,15.917084,-297.380859,-2.540749,0.001098
Oc1cccc(I)c1,COC1CC2CCC1(C)C2(C)C,0.200090,0.000083,17.556976,-954.400391,-2.675018,0.002622,14.385468,-875.587891,-2.106949,0.000754
Oc1cccc(I)c1,CCC(=O)C1=NCCC1,0.165274,0.000013,21.169739,-1527.371094,-3.056198,0.003064,13.855194,-1431.835938,-2.187447,0.000827
Oc1cccc(I)c1,NC(CF)(CF)CF,0.170000,0.000023,19.212769,-1276.699219,-3.145531,0.003800,10.851715,-1190.529297,-1.542389,-0.000156
Oc1cccc(I)c1,CC(C)CCCC(C)CC=O,0.186616,0.000057,19.836243,-1187.361328,-3.108231,0.003175,15.034698,-1172.056641,-2.170288,0.000759
