SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=P(O)(O)CCCl,O=P(Cl)(c1ccccc1)c1ccccc1,0.222178,0.000099,13.024597,-596.505859,-2.224312,0.004678,11.238251,-218.201172,-2.017670,0.002354
O=P(O)(O)CCCl,CC(=O)Nc1ccc(C=O)cc1,0.191423,0.000057,16.380707,-932.716797,-2.742264,0.004185,10.512787,-1073.419922,-1.579216,0.000793
O=P(O)(O)CCCl,Cc1cccc(CO)c1,0.211476,0.000093,14.369629,-594.082031,-2.437057,0.004205,10.988617,-756.332031,-1.651283,0.001316
O=P(O)(O)CCCl,COC(C)CO,0.187567,0.000044,17.210052,-1108.210938,-2.592781,0.003911,10.911804,-1305.207031,-1.878052,0.001687
O=P(O)(O)CCCl,Nc1nc(=O)c2ccccc2o1,0.189725,0.000057,16.990723,-1081.949219,-2.890770,0.004828,11.146973,-1061.830078,-1.708427,0.000504
O=P(O)(O)CCCl,CC(Cl)Br,0.273583,0.000202,5.982452,876.839844,-1.564293,0.006008,15.336945,2957.382812,-3.282417,0.003451
O=P(O)(O)CCCl,CCCOC(F)F,0.270200,0.000193,6.709259,681.835938,-1.519432,0.005187,14.727112,2429.142578,-3.083382,0.003514
O=P(O)(O)CCCl,COC1CC2CCC1(C)C2(C)C,0.227178,0.000086,8.553772,-324.628906,-1.425468,0.003364,9.048279,608.382812,-1.605988,0.003497
O=P(O)(O)CCCl,CCC(=O)C1=NCCC1,0.192093,0.000033,13.651703,-1187.677734,-2.123169,0.003762,10.401764,-654.689453,-1.710129,0.001732
O=P(O)(O)CCCl,NC(CF)(CF)CF,0.174439,0.000009,15.405518,-1286.392578,-2.631569,0.004764,8.196808,-1077.236328,-1.244919,-0.000044
O=P(O)(O)CCCl,CC(C)CCCC(C)CC=O,0.236206,0.000114,10.517487,-346.820312,-1.695343,0.003609,11.161530,301.351562,-1.982590,0.003331
O=P(O)(O)CCCl,Cc1coc(C)n1,0.168104,-0.000009,16.153595,-1362.748047,-2.608093,0.004217,8.436493,-1092.867188,-1.323830,0.000584
O=P(O)(O)CCCl,NC(=S)NC(N)=S,0.259529,0.000201,13.820557,-189.796875,-2.525894,0.005309,18.819031,-61.820312,-3.105392,0.002070
O=P(O)(O)CCCl,FC(F)C(Cl)C(F)F,0.278758,0.000210,5.622711,1001.490234,-1.561966,0.006096,14.561462,2847.931641,-3.174667,0.003807
O=P(O)(O)CCCl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.190339,0.000062,1.532166,2427.574219,-0.633896,0.000457,14.310822,4667.128906,-3.311226,0.004254
O=P(O)(O)CCCl,NNC(=O)c1ccccc1,0.177928,0.000037,18.780884,-1334.798828,-3.049919,0.004528,12.146698,-1292.589844,-1.890938,0.000387
O=P(O)(O)CCCl,ClC=CBr,0.259226,0.000174,4.346436,1030.869141,-1.295921,0.005194,15.629364,3498.199219,-3.328499,0.003146
O=P(O)(O)CCCl,CN(C)N=O,0.194414,0.000048,16.598724,-1284.769531,-2.815315,0.005329,14.211914,-864.228516,-2.276703,0.001148
O=P(O)(O)CCCl,c1ccc(C2CCCCC2)cc1,0.229971,0.000125,4.006775,1488.250000,-0.984749,0.002555,13.961761,3655.509766,-3.255066,0.004212
O=P(O)(O)CCCl,N#Cc1ccncc1,0.193875,0.000047,15.212494,-1250.296875,-2.485916,0.004553,12.439941,-826.068359,-1.970314,0.000788
O=P(O)(O)CCCl,CN(C)C(=S)Nc1ccccc1,0.263208,0.000202,12.906281,-43.039062,-2.427635,0.005738,16.246521,403.335938,-2.827316,0.002254
O=P(O)(O)CCCl,CCC(N)CC,0.145408,-0.000065,15.923584,-1471.734375,-2.789780,0.005237,3.540894,-1189.500000,-0.616730,0.000682
O=P(O)(O)CCCl,COC(=O)CO,0.202970,0.000094,17.672302,-923.484375,-2.864861,0.003939,14.286774,-1101.650391,-2.131210,0.000803
O=P(O)(O)CCCl,Cc1c(N)cccc1Cl,0.244655,0.000150,12.187744,-339.660156,-2.150246,0.005059,13.439850,92.341797,-2.282768,0.002123
O=P(O)(O)CCCl,CC1CCC(C(C)(C)OO)CC1,0.235582,0.000138,13.345947,-85.835938,-2.193443,0.003590,11.654846,-421.072266,-1.982246,0.003155
O=P(O)(O)CCCl,CC(F)(Cl)CF,0.284396,0.000222,6.749878,869.722656,-1.743607,0.006530,14.670471,2591.343750,-3.129921,0.003757
O=P(O)(O)CCCl,CCCCC1OC(C)CC(C)(C)O1,0.210202,0.000059,11.042236,-653.900391,-1.612801,0.002772,8.117004,-270.828125,-1.456055,0.003283
O=P(O)(O)CCCl,CC(C)(C)OCC1CO1,0.211903,0.000078,13.086334,-827.785156,-1.986420,0.003274,11.661835,-529.283203,-1.909470,0.002385
O=P(O)(O)CCCl,O=P(O)(O)OP(=O)(O)O,0.197214,0.000067,16.527740,-772.066406,-2.814819,0.004767,10.505737,-1044.318359,-1.589401,0.001426
O=P(O)(O)CCCl,CC(=O)Nc1ccc(C)cc1,0.198831,0.000066,14.789093,-852.892578,-2.490509,0.004225,10.258392,-805.876953,-1.534386,0.000839
O=P(O)(O)CCCl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.242592,0.000168,15.999084,-392.101562,-2.759239,0.004840,17.395599,-425.375000,-2.830132,0.002162
O=P(O)(O)CCCl,CC(C)(O)CCC1CCCCC1,0.203532,0.000057,12.662292,-562.792969,-2.126389,0.004032,7.232605,-702.851562,-1.194626,0.002090
O=P(O)(O)CCCl,COCC(F)(F)F,0.264049,0.000177,8.861237,74.458984,-1.790840,0.005532,13.823212,1257.968750,-2.489517,0.002792
O=P(O)(O)CCCl,COCC(O)COC,0.177437,0.000022,18.034851,-1315.441406,-2.598328,0.003730,11.024292,-1441.669922,-1.947906,0.001649
O=P(O)(O)CCCl,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.194205,0.000065,17.349121,-792.427734,-2.716232,0.004122,9.380310,-1275.892578,-1.722290,0.002298
O=P(O)(O)CCCl,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.238092,0.000165,16.326202,-429.908203,-2.782066,0.004398,16.240692,-640.031250,-2.533173,0.001629
O=P(O)(O)CCCl,CC(C)C(F)F,0.261165,0.000179,5.211060,1107.439453,-1.406548,0.004859,14.492126,3110.281250,-3.201477,0.003825
O=P(O)(O)CCCl,CCCCC1C=C(C)CC(C)O1,0.220236,0.000074,9.460999,-509.853516,-1.508804,0.002905,8.843506,205.964844,-1.480499,0.003372
O=P(O)(O)CCCl,COc1ccc(C(C)=O)cc1,0.204933,0.000069,14.336731,-949.679688,-2.330872,0.004217,11.631836,-753.978516,-1.868080,0.001338
O=P(O)(O)CCCl,Oc1cc(O)ncn1,0.215401,0.000117,17.093872,-595.152344,-2.938774,0.004528,13.800018,-966.789062,-2.072441,0.001468
O=P(O)(O)CCCl,COCCCCl,0.226431,0.000095,10.035950,-613.205078,-1.801666,0.004164,12.228546,176.771484,-1.926437,0.002361
O=P(O)(O)CCCl,CCCOC,0.216211,0.000074,10.544708,-733.183594,-1.801025,0.003647,11.149323,-23.257812,-1.682922,0.002298
O=P(O)(O)CCCl,Fc1c(F)c(F)c(F)c(F)c1F,0.216670,0.000103,2.689545,1734.537109,-0.878906,0.002359,14.245239,4132.564453,-3.262878,0.003487
O=P(O)(O)CCCl,CCP(CC)CC,0.208886,0.000052,8.306458,-549.826172,-1.517235,0.003881,9.716461,838.351562,-1.697502,0.002465
O=P(O)(O)CCCl,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.190976,0.000014,12.216797,-721.507812,-1.814430,0.003285,4.776978,-685.619141,-1.082893,0.003370
O=P(O)(O)CCCl,Fc1cc(F)c(F)cc1F,0.249307,0.000156,3.793396,1347.101562,-1.150612,0.004152,13.882507,3535.601562,-3.172295,0.003758
O=P(O)(O)CCCl,CCCCc1ccc(C(=O)O)cc1,0.249036,0.000163,13.050415,25.439453,-2.206810,0.003760,12.723724,-205.236328,-2.202408,0.003453
O=P(O)(O)CCCl,C=Cc1c(C)cc(C)cc1C,0.237051,0.000137,4.418121,1407.056641,-1.075897,0.003135,13.996887,3518.500000,-3.262482,0.004250
O=P(O)(O)CCCl,C=C(C)C(=O)OC(C)(C)C,0.238407,0.000124,11.014526,-372.037109,-1.838890,0.003917,12.298798,313.132812,-2.115479,0.003043
O=P(O)(O)CCCl,FC1CCCN1,0.213011,0.000097,15.757965,-996.814453,-2.561066,0.004281,15.356445,-654.011719,-2.368202,0.000956
O=P(O)(O)CCCl,CCCCCCCC(=O)NC,0.182853,0.000021,14.951416,-1036.402344,-2.502052,0.004503,7.499786,-949.419922,-1.250732,0.001134
O=P(O)(O)CCCl,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.210324,0.000094,2.352478,2165.728516,-0.863380,0.001798,13.726196,4249.849609,-3.290253,0.004321
O=P(O)(O)CCCl,C1=CC2C=CC1C2,0.239101,0.000140,4.500061,1065.625000,-1.132698,0.003597,14.848785,3387.843750,-3.205940,0.003367
O=P(O)(O)CCCl,CCC(C)(O)CCC=C(C)C,0.198860,0.000048,12.960693,-654.423828,-2.184715,0.004037,7.208466,-736.886719,-1.176399,0.001834
O=P(O)(O)CCCl,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.200778,0.000060,10.850098,1225.216797,-0.937157,-0.000513,6.689362,504.556641,-1.975266,0.006095
O=P(O)(O)CCCl,CCC(C)CCF,0.249102,0.000155,5.106140,1116.347656,-1.218056,0.003717,14.039886,3022.095703,-3.111931,0.004176
O=P(O)(O)CCCl,C=Cc1cccc(CC)c1,0.241093,0.000145,4.741272,1315.177734,-1.123604,0.003352,14.051422,3422.695312,-3.275322,0.004141
O=P(O)(O)CCCl,CC(C)(C(O)(F)F)C(F)(F)F,0.253423,0.000151,7.618317,-4.804688,-1.537216,0.004798,12.541931,1319.332031,-2.158890,0.003018
O=P(O)(O)CCCl,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.220376,0.000109,2.674896,1597.160156,-0.817642,0.002238,15.325897,4173.039062,-3.404015,0.003784
O=P(O)(O)CCCl,CCN(CC)c1ccc(N)cc1,0.193041,0.000048,15.136841,-980.339844,-2.597923,0.004696,9.793427,-821.556641,-1.580330,0.001053
O=P(O)(O)CCCl,FC(F)CC(F)(F)F,0.267103,0.000190,4.745636,1316.308594,-1.386971,0.005031,13.595795,3261.904297,-3.147469,0.004027
O=P(O)(O)CCCl,N#CCCOCCC#N,0.237570,0.000150,15.234558,-696.341797,-2.602486,0.005256,16.817108,-346.039062,-2.736053,0.001485
O=P(O)(O)CCCl,CCC(C)C(C)C(C)C,0.195879,0.000070,1.947418,2033.197266,-0.692993,0.000919,14.647705,4538.695312,-3.323921,0.003875
O=P(O)(O)CCCl,Cn1c(=O)ccc2ccccc21,0.169398,-0.000008,16.800232,-1473.021484,-2.844795,0.005328,9.348633,-1132.636719,-1.601845,0.000610
O=P(O)(O)CCCl,CCOC(=O)c1ccccc1N,0.235221,0.000139,13.728058,-511.126953,-2.241982,0.004081,14.071899,-353.232422,-2.288345,0.001963
O=P(O)(O)CCCl,ClC1CN2CCC1CC2,0.174368,-0.000011,12.125305,-1151.945312,-2.130493,0.004078,6.284668,-693.291016,-0.761635,0.001265
O=P(O)(O)CCCl,CC=CCCCCCCCC#N,0.252283,0.000158,11.710999,-72.632812,-1.969559,0.004068,13.493134,455.214844,-2.482109,0.003641
O=P(O)(O)CCCl,COCCl,0.277157,0.000213,9.362610,123.414062,-2.027771,0.006959,15.914948,1672.843750,-2.973083,0.002260
O=P(O)(O)CCCl,NCCc1cccnc1,0.139736,-0.000058,20.912292,-1658.634766,-3.343758,0.005181,7.173492,-1786.921875,-1.482124,0.001544
O=P(O)(O)CCCl,Cc1cccc(C(=O)O)c1,0.246761,0.000167,14.054688,-254.988281,-2.409386,0.004322,13.684235,-394.339844,-2.219963,0.002253
O=P(O)(O)CCCl,C=CCNC,0.155920,-0.000037,15.897949,-1406.320312,-2.614929,0.004640,5.339966,-1231.066406,-0.931099,0.000479
O=P(O)(O)CCCl,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.171659,0.000034,1.010986,2535.515625,-0.588295,-0.000108,14.137329,4898.898438,-3.298126,0.004063
O=P(O)(O)CCCl,CC(CO)C(F)(F)F,0.227382,0.000124,13.611603,-274.466797,-2.340927,0.004145,11.420654,-593.779297,-1.808060,0.002045
O=P(O)(O)CCCl,CC(C)C(=O)C(F)(F)F,0.267902,0.000183,7.347351,522.980469,-1.496101,0.004510,13.825165,1984.529297,-2.790466,0.003995
O=P(O)(O)CCCl,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.203374,0.000078,2.751862,2104.605469,-0.736580,0.000139,14.200806,3975.585938,-3.338097,0.005167
O=P(O)(O)CCCl,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.253123,0.000154,10.381104,427.697266,-1.661896,0.003100,11.388916,701.519531,-2.419525,0.005607
O=P(O)(O)CCCl,C=CCN(C)CC=C,0.199439,0.000030,9.247925,-761.345703,-1.745163,0.003636,7.420654,-62.347656,-0.954842,0.002315
O=P(O)(O)CCCl,COCC(F)C(F)(F)F,0.258001,0.000160,8.769775,21.208984,-1.714066,0.004982,12.634216,938.742188,-2.270744,0.003211
O=P(O)(O)CCCl,CNC(C)(C)C,0.154651,-0.000046,14.082275,-1387.500000,-2.459457,0.004760,4.314240,-979.417969,-0.577454,0.001169
O=P(O)(O)CCCl,C1COCCOCCOCCO1,0.185617,0.000027,16.681976,-1162.560547,-2.322090,0.003631,10.288116,-1300.833984,-1.991859,0.002712
O=P(O)(O)CCCl,O=NF,0.251563,0.000175,11.224609,24.943359,-2.369873,0.007015,15.833252,1381.248047,-2.709671,0.000443
O=P(O)(O)CCCl,CCN(CC)CCN,0.139490,-0.000070,18.571442,-1602.685547,-2.907799,0.004839,4.614716,-1647.957031,-1.091949,0.001652
O=P(O)(O)CCCl,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.217308,0.000104,2.951874,1899.636719,-0.813042,0.001666,14.423462,4006.607422,-3.384476,0.004467
O=P(O)(O)CCCl,CC(=O)Nc1ccc(Br)cc1,0.209302,0.000091,14.257843,-659.052734,-2.361115,0.004063,10.704681,-703.525391,-1.624466,0.001037
O=P(O)(O)CCCl,c1ccc(COc2ccccc2)cc1,0.261232,0.000176,7.701782,554.830078,-1.540405,0.004624,13.585938,2158.822266,-2.894730,0.003586
O=P(O)(O)CCCl,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.191916,0.000064,1.528961,2121.105469,-0.605942,0.000745,14.775635,4621.675781,-3.344360,0.003775
O=P(O)(O)CCCl,CC(C)(C)OCF,0.246757,0.000140,9.752289,-239.384766,-1.831207,0.004906,13.778290,909.687500,-2.387360,0.002708
O=P(O)(O)CCCl,OCCCCOC1CCCO1,0.184846,0.000031,16.700134,-1061.033203,-2.482628,0.003924,9.281647,-1317.312500,-1.729973,0.002161
O=P(O)(O)CCCl,OCCCCC(O)CO,0.190818,0.000058,18.554199,-837.484375,-3.002159,0.004366,10.033295,-1372.283203,-1.775726,0.002410
O=P(O)(O)CCCl,CC(C)C(=O)C(=O)O,0.245207,0.000168,14.670959,-432.861328,-2.467636,0.004138,16.149261,-437.203125,-2.569756,0.001887
O=P(O)(O)CCCl,N#CCl,0.268385,0.000197,10.411224,38.324219,-2.240723,0.006424,15.871918,1193.175781,-2.767189,0.002343
O=P(O)(O)CCCl,CC(C)(C)CCO,0.207523,0.000074,13.272339,-601.001953,-2.249687,0.004170,9.128632,-682.576172,-1.413048,0.001645
O=P(O)(O)CCCl,CCc1cc(C(N)=S)ccn1,0.205149,0.000080,14.452423,-690.443359,-2.480904,0.004559,9.709229,-739.666016,-1.544098,0.001174
