SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
OC(F)(F)CC(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.171152,0.000031,20.624237,-1179.728516,-3.351349,0.003857,11.511932,-1296.228516,-1.764481,0.000577
OC(F)(F)CC(F)F,CC(=O)Nc1ccc(C=O)cc1,0.164439,0.000005,20.898529,-1168.664062,-3.437126,0.004347,9.354614,-1425.414062,-1.576027,0.001410
OC(F)(F)CC(F)F,Cc1cccc(CO)c1,0.184022,0.000049,18.545074,-926.828125,-3.110962,0.004123,10.361389,-1133.121094,-1.605888,0.000975
OC(F)(F)CC(F)F,COC(C)CO,0.155942,-0.000017,22.470551,-1409.650391,-3.469948,0.004265,10.916199,-1715.835938,-1.980331,0.002298
OC(F)(F)CC(F)F,Nc1nc(=O)c2ccccc2o1,0.170692,0.000022,19.860474,-1036.417969,-3.270462,0.004260,8.113495,-1297.607422,-1.326279,0.001150
OC(F)(F)CC(F)F,CC(Cl)Br,0.269843,0.000223,14.743439,-25.070312,-2.719238,0.005258,14.717377,-106.810547,-2.491493,0.002449
OC(F)(F)CC(F)F,CCCOC(F)F,0.242249,0.000175,16.867340,-608.832031,-2.835114,0.004540,16.257172,-650.748047,-2.556068,0.001230
OC(F)(F)CC(F)F,COC1CC2CCC1(C)C2(C)C,0.182354,0.000035,16.578339,-1001.941406,-2.583191,0.003132,9.783691,-993.792969,-1.503189,0.000962
OC(F)(F)CC(F)F,CCC(=O)C1=NCCC1,0.150192,-0.000028,21.330505,-1587.117188,-3.230713,0.004005,10.221527,-1598.658203,-1.819565,0.001105
OC(F)(F)CC(F)F,NC(CF)(CF)CF,0.143608,-0.000034,21.489624,-1664.894531,-3.490517,0.004497,9.252258,-1587.384766,-1.475487,-0.000053
OC(F)(F)CC(F)F,CC(C)CCCC(C)CC=O,0.175227,0.000028,18.780884,-1141.464844,-3.001984,0.003407,11.650024,-1196.689453,-1.727142,0.000847
OC(F)(F)CC(F)F,Cc1coc(C)n1,0.141948,-0.000041,22.106110,-1651.617188,-3.551498,0.004292,10.075928,-1620.275391,-1.599190,0.000568
OC(F)(F)CC(F)F,NC(=S)NC(N)=S,0.258336,0.000193,16.071808,634.597656,-2.999207,0.005515,13.883484,47.132812,-2.258507,0.003445
OC(F)(F)CC(F)F,FC(F)C(Cl)C(F)F,0.268116,0.000230,16.509033,-306.685547,-2.966850,0.005614,16.196930,-471.632812,-2.584007,0.001739
OC(F)(F)CC(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265400,0.000206,14.449310,224.076172,-2.437904,0.003755,13.643127,-66.919922,-2.495209,0.004141
OC(F)(F)CC(F)F,NNC(=O)c1ccccc1,0.161745,-0.000000,21.049988,-1272.439453,-3.436752,0.004434,9.773987,-1483.515625,-1.649239,0.001251
OC(F)(F)CC(F)F,ClC=CBr,0.276094,0.000229,13.478180,110.310547,-2.566017,0.005581,13.732910,261.703125,-2.437492,0.002696
OC(F)(F)CC(F)F,CN(C)N=O,0.147132,-0.000031,23.199738,-1601.115234,-3.732407,0.004585,12.431274,-1658.638672,-1.940468,0.001121
OC(F)(F)CC(F)F,c1ccc(C2CCCCC2)cc1,0.266251,0.000212,14.199554,226.656250,-2.470139,0.003875,13.514008,-28.000000,-2.472313,0.003882
OC(F)(F)CC(F)F,N#Cc1ccncc1,0.155230,-0.000014,21.374054,-1533.357422,-3.354958,0.004232,11.225372,-1588.492188,-1.861870,0.000917
OC(F)(F)CC(F)F,CN(C)C(=S)Nc1ccccc1,0.214352,0.000126,19.722900,-832.871094,-3.116875,0.003343,16.490906,-926.783203,-2.472649,0.000898
OC(F)(F)CC(F)F,CCC(N)CC,0.131984,-0.000074,20.378448,-1620.312500,-3.481102,0.004999,5.643890,-1543.541016,-0.991524,0.000584
