SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=Cc1ccc(O)cc1O,O=P(Cl)(c1ccccc1)c1ccccc1,0.219543,0.000134,17.969482,-903.777344,-2.982574,0.004648,14.334869,-696.115234,-2.221237,0.000323
O=Cc1ccc(O)cc1O,CC(=O)Nc1ccc(C=O)cc1,0.200367,0.000099,19.030640,-1005.029297,-3.138130,0.004235,13.293976,-995.779297,-1.926018,-0.000029
O=Cc1ccc(O)cc1O,Cc1cccc(CO)c1,0.227199,0.000152,17.558350,-651.896484,-2.949646,0.004419,14.080475,-731.996094,-2.121689,0.000517
O=Cc1ccc(O)cc1O,COC(C)CO,0.190122,0.000075,20.045868,-1170.857422,-3.149353,0.003689,14.798096,-1228.746094,-2.208244,0.000510
O=Cc1ccc(O)cc1O,Nc1nc(=O)c2ccccc2o1,0.206595,0.000115,18.756409,-815.441406,-3.102150,0.004245,12.922241,-879.972656,-1.890472,0.000219
O=Cc1ccc(O)cc1O,CC(Cl)Br,0.289175,0.000248,11.510071,94.150391,-2.446632,0.007384,15.518250,1190.480469,-2.911201,0.002234
O=Cc1ccc(O)cc1O,CCCOC(F)F,0.285783,0.000241,11.871002,97.621094,-2.398964,0.006600,15.064911,1025.195312,-2.859192,0.002625
O=Cc1ccc(O)cc1O,COC1CC2CCC1(C)C2(C)C,0.241292,0.000152,13.617493,-424.773438,-2.247261,0.004178,13.608551,198.634766,-2.333183,0.001802
O=Cc1ccc(O)cc1O,CCC(=O)C1=NCCC1,0.195938,0.000078,17.350922,-1273.562500,-2.652176,0.003697,14.740723,-866.751953,-2.214119,-0.000191
O=Cc1ccc(O)cc1O,NC(CF)(CF)CF,0.194311,0.000079,17.332306,-1041.152344,-2.882507,0.004227,12.225494,-961.453125,-1.746902,-0.000385
O=Cc1ccc(O)cc1O,CC(C)CCCC(C)CC=O,0.223751,0.000129,15.919434,-805.158203,-2.610222,0.004314,14.133148,-516.580078,-2.215591,0.000733
O=Cc1ccc(O)cc1O,Cc1coc(C)n1,0.172078,0.000033,19.295807,-1396.066406,-3.126511,0.003677,12.750916,-1181.789062,-1.704926,-0.000657
O=Cc1ccc(O)cc1O,NC(=S)NC(N)=S,0.237746,0.000167,16.405487,-185.833984,-2.837128,0.004441,16.122101,-351.142578,-2.432022,0.001100
O=Cc1ccc(O)cc1O,FC(F)C(Cl)C(F)F,0.288538,0.000249,11.827972,100.392578,-2.479248,0.007192,15.646484,950.804688,-2.863037,0.002269
O=Cc1ccc(O)cc1O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.253164,0.000168,7.849426,1422.503906,-1.684601,0.003703,11.655670,2321.902344,-2.711472,0.004714
O=Cc1ccc(O)cc1O,NNC(=O)c1ccccc1,0.201389,0.000105,19.313843,-1009.669922,-3.191086,0.004350,14.208618,-1042.330078,-2.074608,0.000003
O=Cc1ccc(O)cc1O,ClC=CBr,0.291371,0.000244,10.310760,166.621094,-2.261772,0.007251,14.949921,1395.160156,-2.848518,0.002685
O=Cc1ccc(O)cc1O,CN(C)N=O,0.194108,0.000074,19.151062,-1237.757812,-3.239487,0.004768,15.635254,-977.109375,-2.226097,0.000188
O=Cc1ccc(O)cc1O,c1ccc(C2CCCCC2)cc1,0.283128,0.000226,9.812469,547.613281,-2.084053,0.005983,13.367096,1734.849609,-2.849838,0.003774
O=Cc1ccc(O)cc1O,N#Cc1ccncc1,0.196720,0.000083,17.717651,-1174.363281,-2.865990,0.004160,13.732697,-1014.978516,-1.989693,-0.000250
O=Cc1ccc(O)cc1O,CN(C)C(=S)Nc1ccccc1,0.244164,0.000188,17.332214,-668.685547,-2.957565,0.004891,17.601105,-437.796875,-2.701752,0.000376
O=Cc1ccc(O)cc1O,CCC(N)CC,0.155357,-0.000017,18.385895,-1422.859375,-3.145050,0.004345,8.335785,-1247.824219,-1.129623,-0.000494
O=Cc1ccc(O)cc1O,COC(=O)CO,0.214368,0.000133,19.530579,-882.539062,-3.201523,0.004164,15.380829,-934.117188,-2.246056,0.000190
O=Cc1ccc(O)cc1O,Cc1c(N)cccc1Cl,0.244298,0.000179,15.999298,-625.751953,-2.731064,0.004971,15.439362,-337.042969,-2.422668,0.000599
O=Cc1ccc(O)cc1O,CC1CCC(C(C)(C)OO)CC1,0.246609,0.000185,16.538940,-334.781250,-2.835365,0.004494,15.110504,-455.423828,-2.466415,0.001806
O=Cc1ccc(O)cc1O,CC(F)(Cl)CF,0.290772,0.000256,12.269806,116.671875,-2.574112,0.007353,15.696747,1003.000000,-2.931145,0.002443
O=Cc1ccc(O)cc1O,CCCCC1OC(C)CC(C)(C)O1,0.222074,0.000127,15.747498,-720.455078,-2.423531,0.003331,14.235535,-530.296875,-2.265930,0.001104
