SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=C(O)CCC1CCCCC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.233505,0.000165,18.505493,-680.957031,-3.107033,0.004550,15.177948,-774.714844,-2.274071,0.000867
O=C(O)CCC1CCCCC1,CC(=O)Nc1ccc(C=O)cc1,0.243478,0.000177,17.830597,-339.900391,-3.067177,0.004556,13.987732,-731.494141,-2.175377,0.001948
O=C(O)CCC1CCCCC1,Cc1cccc(CO)c1,0.252606,0.000201,17.526520,-362.599609,-3.089439,0.005011,15.742859,-694.681641,-2.448540,0.001704
O=C(O)CCC1CCCCC1,COC(C)CO,0.223248,0.000144,19.311707,-701.093750,-3.185295,0.004259,15.550354,-1043.425781,-2.390541,0.001499
O=C(O)CCC1CCCCC1,Nc1nc(=O)c2ccccc2o1,0.230989,0.000151,18.562866,-256.896484,-3.084984,0.003986,12.424988,-744.308594,-1.959061,0.002102
O=C(O)CCC1CCCCC1,CC(Cl)Br,0.282275,0.000247,13.522400,-129.531250,-2.825928,0.007952,16.313904,486.769531,-2.764198,0.001168
O=C(O)CCC1CCCCC1,CCCOC(F)F,0.283579,0.000249,13.594543,-132.537109,-2.753136,0.007363,16.303162,393.373047,-2.809181,0.001604
O=C(O)CCC1CCCCC1,COC1CC2CCC1(C)C2(C)C,0.232530,0.000151,16.124695,-750.111328,-2.672867,0.004372,15.617920,-561.535156,-2.410927,0.000808
O=C(O)CCC1CCCCC1,CCC(=O)C1=NCCC1,0.212811,0.000118,18.181824,-920.783203,-2.877007,0.003824,14.448456,-987.263672,-2.177162,0.000592
O=C(O)CCC1CCCCC1,NC(CF)(CF)CF,0.213665,0.000113,16.922394,-674.398438,-2.924980,0.004420,12.616821,-881.275391,-1.824661,0.000877
O=C(O)CCC1CCCCC1,CC(C)CCCC(C)CC=O,0.242178,0.000176,16.922241,-653.072266,-2.850746,0.004609,16.347839,-663.074219,-2.526390,0.001022
O=C(O)CCC1CCCCC1,Cc1coc(C)n1,0.200002,0.000095,19.302795,-1071.916016,-3.080696,0.003868,14.311493,-1114.822266,-2.103111,0.000367
O=C(O)CCC1CCCCC1,NC(=S)NC(N)=S,0.251494,0.000181,15.450928,369.234375,-2.929146,0.005809,15.425751,-11.513672,-2.308327,0.002080
O=C(O)CCC1CCCCC1,FC(F)C(Cl)C(F)F,0.277499,0.000241,14.215027,-166.046875,-2.869553,0.007385,16.415955,280.271484,-2.714523,0.001137
O=C(O)CCC1CCCCC1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.279148,0.000227,11.533356,544.023438,-2.373871,0.006302,12.685638,974.695312,-2.470078,0.003037
O=C(O)CCC1CCCCC1,NNC(=O)c1ccccc1,0.234788,0.000164,18.245483,-414.626953,-3.170822,0.004638,14.822998,-871.414062,-2.263527,0.001978
O=C(O)CCC1CCCCC1,ClC=CBr,0.286109,0.000250,12.955933,-217.757812,-2.718605,0.007840,16.987061,550.410156,-2.914658,0.001375
O=C(O)CCC1CCCCC1,CN(C)N=O,0.224840,0.000145,18.504639,-626.269531,-3.130974,0.004388,15.647217,-871.916016,-2.277176,0.001043
O=C(O)CCC1CCCCC1,c1ccc(C2CCCCC2)cc1,0.286949,0.000250,13.034851,-30.046875,-2.664513,0.007346,15.823822,605.480469,-2.872070,0.002297
O=C(O)CCC1CCCCC1,N#Cc1ccncc1,0.223479,0.000139,17.997345,-783.240234,-2.985352,0.004268,15.152649,-905.927734,-2.236183,0.000711
O=C(O)CCC1CCCCC1,CN(C)C(=S)Nc1ccccc1,0.257298,0.000206,17.012909,-111.097656,-2.972343,0.004811,15.007660,-247.587891,-2.449402,0.001795
O=C(O)CCC1CCCCC1,CCC(N)CC,0.175649,0.000036,18.977661,-1220.902344,-3.106972,0.004038,11.259369,-1285.109375,-1.703278,0.000267
O=C(O)CCC1CCCCC1,COC(=O)CO,0.242993,0.000183,17.930511,-352.136719,-3.180946,0.004653,15.936646,-666.197266,-2.370338,0.001576
O=C(O)CCC1CCCCC1,Cc1c(N)cccc1Cl,0.250718,0.000196,16.946686,-439.982422,-2.949799,0.004825,16.438293,-626.251953,-2.518814,0.001246
O=C(O)CCC1CCCCC1,CC1CCC(C(C)(C)OO)CC1,0.252213,0.000203,17.590363,-365.246094,-3.051964,0.004754,16.397949,-737.292969,-2.580231,0.001809
O=C(O)CCC1CCCCC1,CC(F)(Cl)CF,0.283622,0.000250,13.828308,-35.187500,-2.878265,0.007773,15.841400,441.484375,-2.704117,0.001555
O=C(O)CCC1CCCCC1,CCCCC1OC(C)CC(C)(C)O1,0.221661,0.000134,17.236115,-773.443359,-2.702850,0.003660,14.430298,-903.986328,-2.243141,0.000979
O=C(O)CCC1CCCCC1,CC(C)(C)OCC1CO1,0.228792,0.000154,18.134338,-750.646484,-2.924614,0.003947,15.954529,-872.009766,-2.407799,0.000784
O=C(O)CCC1CCCCC1,O=P(O)(O)OP(=O)(O)O,0.218269,0.000098,15.697327,-161.576172,-2.829803,0.005197,10.703705,-610.250000,-1.538673,0.002571
O=C(O)CCC1CCCCC1,CC(=O)Nc1ccc(C)cc1,0.241594,0.000176,17.673096,-556.771484,-3.031830,0.004766,14.583191,-764.564453,-2.223274,0.001267
O=C(O)CCC1CCCCC1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.257613,0.000199,17.493286,397.132812,-3.077766,0.004315,12.318787,42.228516,-2.067848,0.002528
O=C(O)CCC1CCCCC1,CC(C)(O)CCC1CCCCC1,0.236383,0.000165,17.535675,-468.335938,-2.974716,0.004399,14.200531,-824.222656,-2.239487,0.001740
O=C(O)CCC1CCCCC1,COCC(F)(F)F,0.263743,0.000213,14.555725,-276.537109,-2.763489,0.006409,15.516815,59.455078,-2.471947,0.000715
O=C(O)CCC1CCCCC1,COCC(O)COC,0.214920,0.000126,19.542236,-838.384766,-3.199829,0.004136,15.396515,-1100.884766,-2.313545,0.001180
O=C(O)CCC1CCCCC1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.236985,0.000170,19.215759,-279.787109,-3.147057,0.003853,14.398712,-876.156250,-2.313217,0.002527
O=C(O)CCC1CCCCC1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.251543,0.000198,17.541718,-110.123047,-3.062195,0.004483,15.966217,-590.556641,-2.496323,0.002234
O=C(O)CCC1CCCCC1,CC(C)C(F)F,0.287947,0.000253,12.905396,-8.037109,-2.718529,0.007662,15.793488,607.908203,-2.808586,0.001995
O=C(O)CCC1CCCCC1,CCCCC1C=C(C)CC(C)O1,0.228466,0.000141,16.017365,-752.591797,-2.611954,0.004098,14.837280,-659.300781,-2.287186,0.000865
O=C(O)CCC1CCCCC1,COc1ccc(C(C)=O)cc1,0.230426,0.000154,17.985565,-691.939453,-3.010162,0.004368,14.801910,-835.863281,-2.188751,0.000883
O=C(O)CCC1CCCCC1,Oc1cc(O)ncn1,0.255329,0.000199,16.669464,-16.914062,-3.093277,0.005601,16.252228,-574.617188,-2.519783,0.002732
O=C(O)CCC1CCCCC1,COCCCCl,0.243334,0.000170,15.897644,-620.279297,-2.775330,0.005129,15.319092,-489.794922,-2.337784,0.000855
O=C(O)CCC1CCCCC1,CCCOC,0.230812,0.000149,16.573792,-776.623047,-2.783394,0.004595,15.584747,-685.871094,-2.362511,0.000637
O=C(O)CCC1CCCCC1,Fc1c(F)c(F)c(F)c(F)c1F,0.289219,0.000248,11.877411,110.271484,-2.503273,0.007133,14.378540,746.330078,-2.663567,0.002475
O=C(O)CCC1CCCCC1,CCP(CC)CC,0.231236,0.000146,15.928986,-832.099609,-2.660851,0.004657,15.809540,-490.431641,-2.471069,0.000714
O=C(O)CCC1CCCCC1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.207360,0.000098,17.532471,-822.988281,-2.737686,0.003654,12.658081,-1098.509766,-2.040283,0.001574
O=C(O)CCC1CCCCC1,Fc1cc(F)c(F)cc1F,0.287745,0.000251,12.778595,-56.382812,-2.683678,0.007646,15.575653,562.568359,-2.752953,0.001851
O=C(O)CCC1CCCCC1,CCCCc1ccc(C(=O)O)cc1,0.259037,0.000216,17.109192,-333.628906,-3.014809,0.005075,16.637024,-647.298828,-2.625191,0.001670
O=C(O)CCC1CCCCC1,C=Cc1c(C)cc(C)cc1C,0.285012,0.000248,13.305695,-75.839844,-2.710861,0.007412,16.059082,520.408203,-2.856606,0.002062
O=C(O)CCC1CCCCC1,C=C(C)C(=O)OC(C)(C)C,0.245648,0.000184,17.038849,-656.779297,-2.920029,0.004937,16.414978,-599.925781,-2.540169,0.000965
O=C(O)CCC1CCCCC1,FC1CCCN1,0.240544,0.000184,18.530212,-566.201172,-3.170570,0.004625,17.429413,-736.244141,-2.630096,0.001069
O=C(O)CCC1CCCCC1,CCCCCCCC(=O)NC,0.216329,0.000127,18.401520,-766.388672,-3.049866,0.004238,13.760498,-1009.937500,-2.093605,0.001039
O=C(O)CCC1CCCCC1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.287506,0.000243,11.489044,548.056641,-2.479698,0.006930,12.941895,888.976562,-2.545441,0.003386
O=C(O)CCC1CCCCC1,C1=CC2C=CC1C2,0.287528,0.000249,12.687592,-68.529297,-2.644539,0.007644,16.223511,676.259766,-2.915878,0.002139
O=C(O)CCC1CCCCC1,CCC(C)(O)CCC=C(C)C,0.234986,0.000163,17.494415,-532.355469,-2.988586,0.004526,14.132843,-822.951172,-2.201027,0.001470
O=C(O)CCC1CCCCC1,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.226475,0.000154,18.206940,-354.794922,-2.841095,0.003117,17.385345,-975.595703,-2.860916,0.002401
O=C(O)CCC1CCCCC1,CCC(C)CCF,0.285607,0.000247,12.999817,-112.968750,-2.646088,0.007245,16.328552,467.566406,-2.881012,0.002088
O=C(O)CCC1CCCCC1,C=Cc1cccc(CC)c1,0.284968,0.000249,13.446838,-84.535156,-2.734596,0.007426,16.179840,483.669922,-2.859482,0.002028
O=C(O)CCC1CCCCC1,CC(C)(C(O)(F)F)C(F)(F)F,0.216786,0.000114,16.738953,-1014.269531,-2.748375,0.004408,15.466400,-598.369141,-2.320160,0.000236
