SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
OC(F)(F)C(O)(F)Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.114210,-0.000111,22.366852,-2113.578125,-3.949783,0.005385,8.047150,-1672.859375,-1.132812,0.001207
OC(F)(F)C(O)(F)Cl,CC(=O)Nc1ccc(C=O)cc1,0.110022,-0.000136,21.523529,-2477.076172,-4.159477,0.007226,5.506195,-1761.314453,-0.920418,0.002652
OC(F)(F)C(O)(F)Cl,Cc1cccc(CO)c1,0.119005,-0.000111,20.477997,-2043.986328,-3.705307,0.005946,6.049866,-1446.464844,-0.872398,0.000957
OC(F)(F)C(O)(F)Cl,COC(C)CO,0.112038,-0.000132,22.243347,-2546.921875,-3.944473,0.007162,4.665222,-2163.845703,-1.116890,0.003911
OC(F)(F)C(O)(F)Cl,Nc1nc(=O)c2ccccc2o1,0.108844,-0.000139,21.232422,-2447.824219,-4.038857,0.007442,4.840240,-1595.986328,-0.860992,0.002274
OC(F)(F)C(O)(F)Cl,CC(Cl)Br,0.253731,0.000193,15.229950,-339.640625,-2.653000,0.004957,17.220032,-191.509766,-2.861412,0.001993
OC(F)(F)C(O)(F)Cl,CCCOC(F)F,0.196508,0.000061,17.367218,-1240.089844,-2.825829,0.004078,15.744629,-760.009766,-2.358452,0.001126
OC(F)(F)C(O)(F)Cl,COC1CC2CCC1(C)C2(C)C,0.133096,-0.000094,17.804535,-1907.894531,-3.046684,0.004585,6.670197,-1160.865234,-0.959236,0.001453
OC(F)(F)C(O)(F)Cl,CCC(=O)C1=NCCC1,0.114507,-0.000135,20.134033,-2689.337891,-3.688957,0.006893,5.842285,-1783.230469,-1.138847,0.002994
OC(F)(F)C(O)(F)Cl,NC(CF)(CF)CF,0.108372,-0.000136,20.444000,-2568.593750,-3.912521,0.006639,4.704742,-1779.435547,-0.775169,0.001741
OC(F)(F)C(O)(F)Cl,CC(C)CCCC(C)CC=O,0.119993,-0.000115,19.996490,-2179.748047,-3.447952,0.005156,8.039093,-1416.820312,-1.113487,0.001531
OC(F)(F)C(O)(F)Cl,Cc1coc(C)n1,0.107963,-0.000140,20.852142,-2615.433594,-4.018791,0.006600,5.651398,-1883.775391,-0.817520,0.002438
OC(F)(F)C(O)(F)Cl,NC(=S)NC(N)=S,0.235902,0.000135,15.001740,113.083984,-2.425644,0.004159,13.061096,-423.337891,-2.126602,0.002803
OC(F)(F)C(O)(F)Cl,FC(F)C(Cl)C(F)F,0.256907,0.000202,15.529755,-364.914062,-2.755943,0.005267,16.773865,-327.234375,-2.726768,0.001684
OC(F)(F)C(O)(F)Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.244342,0.000167,12.962036,357.359375,-2.158493,0.002914,14.210541,317.361328,-2.634796,0.003913
OC(F)(F)C(O)(F)Cl,NNC(=O)c1ccccc1,0.117736,-0.000127,20.655548,-2557.621094,-4.048767,0.007547,6.905182,-1693.269531,-1.206749,0.002904
