SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Oc1cc(Cl)cc(Cl)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.165128,0.000023,22.785980,-1467.884766,-3.669044,0.004076,13.975372,-1451.535156,-2.043564,0.000246
Oc1cc(Cl)cc(Cl)c1,CC(=O)Nc1ccc(C=O)cc1,0.160078,-0.000004,21.463928,-1307.642578,-3.545029,0.004286,10.933472,-1450.609375,-1.676216,0.001109
Oc1cc(Cl)cc(Cl)c1,Cc1cccc(CO)c1,0.177425,0.000041,20.739014,-1221.542969,-3.376930,0.003996,13.409485,-1257.712891,-1.955833,0.000625
Oc1cc(Cl)cc(Cl)c1,COC(C)CO,0.149797,-0.000025,23.320160,-1610.412109,-3.619614,0.004134,12.680511,-1703.933594,-2.071114,0.001658
Oc1cc(Cl)cc(Cl)c1,Nc1nc(=O)c2ccccc2o1,0.171369,0.000029,20.407806,-1088.857422,-3.392334,0.003980,9.968994,-1286.097656,-1.423149,0.000840
Oc1cc(Cl)cc(Cl)c1,CC(Cl)Br,0.265233,0.000223,15.609467,-312.316406,-2.933868,0.006182,16.729004,-128.132812,-2.701561,0.001146
Oc1cc(Cl)cc(Cl)c1,CCCOC(F)F,0.249891,0.000194,16.668976,-502.496094,-2.865532,0.004829,16.689392,-502.878906,-2.642899,0.001138
Oc1cc(Cl)cc(Cl)c1,COC1CC2CCC1(C)C2(C)C,0.184588,0.000048,18.661346,-1201.441406,-2.889442,0.003053,14.525665,-1050.121094,-2.091370,0.000557
Oc1cc(Cl)cc(Cl)c1,CCC(=O)C1=NCCC1,0.149854,-0.000022,22.497375,-1724.326172,-3.315155,0.003549,12.924835,-1584.501953,-2.092682,0.000811
Oc1cc(Cl)cc(Cl)c1,NC(CF)(CF)CF,0.152858,-0.000018,20.407990,-1492.134766,-3.401932,0.004368,9.827271,-1377.250000,-1.431641,-0.000153
Oc1cc(Cl)cc(Cl)c1,CC(C)CCCC(C)CC=O,0.163572,0.000008,21.613678,-1510.314453,-3.361534,0.003466,14.709839,-1403.083984,-2.115120,0.000561
Oc1cc(Cl)cc(Cl)c1,Cc1coc(C)n1,0.136493,-0.000050,23.212769,-1830.705078,-3.685783,0.004082,11.594513,-1663.816406,-1.739143,0.000544
Oc1cc(Cl)cc(Cl)c1,NC(=S)NC(N)=S,0.249160,0.000177,16.292938,524.732422,-3.038765,0.004997,15.579590,-97.648438,-2.439552,0.003087
Oc1cc(Cl)cc(Cl)c1,FC(F)C(Cl)C(F)F,0.268218,0.000224,14.800262,-22.837891,-2.848526,0.006039,14.676941,46.738281,-2.419151,0.001583
Oc1cc(Cl)cc(Cl)c1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.253359,0.000179,11.169891,1201.910156,-2.224136,0.004072,10.836670,1188.093750,-2.333328,0.004352
Oc1cc(Cl)cc(Cl)c1,NNC(=O)c1ccccc1,0.163469,0.000006,21.565186,-1328.855469,-3.510986,0.004241,12.213806,-1486.488281,-1.911659,0.001174
Oc1cc(Cl)cc(Cl)c1,ClC=CBr,0.270933,0.000228,14.579376,-259.677734,-2.799278,0.006482,16.326080,126.851562,-2.716232,0.001321
Oc1cc(Cl)cc(Cl)c1,CN(C)N=O,0.150237,-0.000024,22.964508,-1567.712891,-3.714577,0.004519,13.137329,-1568.738281,-1.921410,0.000917
Oc1cc(Cl)cc(Cl)c1,c1ccc(C2CCCCC2)cc1,0.262273,0.000211,15.311890,-133.736328,-2.727089,0.004817,15.673615,-154.419922,-2.700890,0.002571
Oc1cc(Cl)cc(Cl)c1,N#Cc1ccncc1,0.152576,-0.000015,22.294098,-1616.804688,-3.416748,0.004049,12.165588,-1589.865234,-1.985725,0.000753
Oc1cc(Cl)cc(Cl)c1,CN(C)C(=S)Nc1ccccc1,0.212029,0.000121,20.402710,-977.464844,-3.259193,0.003657,17.814941,-999.857422,-2.638939,0.000641
Oc1cc(Cl)cc(Cl)c1,CCC(N)CC,0.123235,-0.000085,22.067139,-1881.820312,-3.642845,0.004617,7.718231,-1674.580078,-1.195091,0.000376
Oc1cc(Cl)cc(Cl)c1,COC(=O)CO,0.165341,0.000018,22.606781,-1348.232422,-3.583542,0.003831,14.059326,-1480.076172,-2.095078,0.001174
Oc1cc(Cl)cc(Cl)c1,Cc1c(N)cccc1Cl,0.213446,0.000120,18.105499,-866.882812,-3.011284,0.004204,14.078339,-914.476562,-2.077217,0.000439
Oc1cc(Cl)cc(Cl)c1,CC1CCC(C(C)(C)OO)CC1,0.202739,0.000092,19.546082,-877.425781,-3.178589,0.003571,14.990692,-1092.396484,-2.237488,0.001441
