SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=C1CCN(c2ccccc2)N1,O=P(Cl)(c1ccccc1)c1ccccc1,0.249723,0.000198,17.473663,-512.039062,-3.007317,0.004907,16.452026,-606.431641,-2.591385,0.001262
O=C1CCN(c2ccccc2)N1,CC(=O)Nc1ccc(C=O)cc1,0.248837,0.000195,17.638153,-347.326172,-3.049850,0.004778,15.316345,-700.501953,-2.423843,0.001766
O=C1CCN(c2ccccc2)N1,Cc1cccc(CO)c1,0.248008,0.000192,16.635376,-350.800781,-2.938881,0.005034,15.654907,-563.705078,-2.450844,0.001408
O=C1CCN(c2ccccc2)N1,COC(C)CO,0.241643,0.000179,17.165894,-479.941406,-2.974648,0.004766,15.989960,-711.648438,-2.445274,0.001256
O=C1CCN(c2ccccc2)N1,Nc1nc(=O)c2ccccc2o1,0.235855,0.000169,18.390533,-302.503906,-3.055153,0.003997,14.325714,-796.785156,-2.279037,0.002205
O=C1CCN(c2ccccc2)N1,CC(Cl)Br,0.274216,0.000228,14.001953,-323.107422,-2.717247,0.006825,17.623962,262.402344,-2.946815,0.001499
O=C1CCN(c2ccccc2)N1,CCCOC(F)F,0.283911,0.000240,13.101868,-66.109375,-2.570549,0.006499,15.893616,468.988281,-2.843491,0.002611
O=C1CCN(c2ccccc2)N1,COC1CC2CCC1(C)C2(C)C,0.254534,0.000175,12.707428,-259.199219,-2.173004,0.004156,14.877899,283.306641,-2.553589,0.002626
O=C1CCN(c2ccccc2)N1,CCC(=O)C1=NCCC1,0.245495,0.000175,15.602020,-679.994141,-2.632568,0.004363,16.639130,-370.900391,-2.597359,0.001247
O=C1CCN(c2ccccc2)N1,NC(CF)(CF)CF,0.238323,0.000169,16.790619,-565.003906,-2.863693,0.004498,15.451843,-687.339844,-2.310402,0.000851
O=C1CCN(c2ccccc2)N1,CC(C)CCCC(C)CC=O,0.261452,0.000197,13.847595,-216.097656,-2.393219,0.004397,15.445404,-47.923828,-2.614319,0.002574
O=C1CCN(c2ccccc2)N1,Cc1coc(C)n1,0.233527,0.000158,16.688782,-705.609375,-2.794357,0.004336,15.762329,-677.152344,-2.342491,0.000550
O=C1CCN(c2ccccc2)N1,NC(=S)NC(N)=S,0.213083,0.000110,18.466614,-769.148438,-2.983826,0.004131,17.309174,-943.730469,-2.627495,0.001319
O=C1CCN(c2ccccc2)N1,FC(F)C(Cl)C(F)F,0.259332,0.000198,15.411102,-519.611328,-2.865128,0.006132,18.591309,-125.636719,-2.993927,0.001388
O=C1CCN(c2ccccc2)N1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.255721,0.000175,10.505737,748.244141,-2.011124,0.004447,13.298035,1180.134766,-2.666229,0.004069
O=C1CCN(c2ccccc2)N1,NNC(=O)c1ccccc1,0.248270,0.000196,17.925507,-327.523438,-3.111908,0.004851,16.303772,-712.794922,-2.565735,0.001804
O=C1CCN(c2ccccc2)N1,ClC=CBr,0.273917,0.000220,13.431885,-331.484375,-2.586441,0.006400,17.507965,321.839844,-2.976845,0.002078
O=C1CCN(c2ccccc2)N1,CN(C)N=O,0.252174,0.000197,16.685242,-463.556641,-2.965378,0.005263,17.657349,-574.429688,-2.710114,0.001278
O=C1CCN(c2ccccc2)N1,c1ccc(C2CCCCC2)cc1,0.285406,0.000232,11.636444,283.736328,-2.297974,0.005803,13.987396,855.505859,-2.759262,0.004198
O=C1CCN(c2ccccc2)N1,N#Cc1ccncc1,0.239319,0.000173,17.183807,-773.382812,-2.885002,0.004646,17.622101,-679.582031,-2.683334,0.000614
O=C1CCN(c2ccccc2)N1,CN(C)C(=S)Nc1ccccc1,0.244821,0.000187,17.328888,-510.144531,-2.938087,0.004552,16.667419,-564.490234,-2.616531,0.001190
O=C1CCN(c2ccccc2)N1,CCC(N)CC,0.208120,0.000097,15.208893,-663.587891,-2.584305,0.004160,12.624268,-724.683594,-1.923851,0.001099
O=C1CCN(c2ccccc2)N1,COC(=O)CO,0.245918,0.000191,17.727875,-509.306641,-3.097778,0.004973,16.254364,-685.667969,-2.452484,0.000949
O=C1CCN(c2ccccc2)N1,Cc1c(N)cccc1Cl,0.238293,0.000174,17.587067,-689.537109,-2.958237,0.004563,17.488770,-664.957031,-2.690186,0.000726
O=C1CCN(c2ccccc2)N1,CC1CCC(C(C)(C)OO)CC1,0.242108,0.000173,16.130585,-370.400391,-2.728439,0.004312,14.737000,-557.734375,-2.348816,0.001692
