SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=C1NC(=O)c2ccccc21,O=P(Cl)(c1ccccc1)c1ccccc1,0.229776,0.000160,18.172394,-686.724609,-2.995338,0.004148,15.673920,-798.732422,-2.362907,0.000640
O=C1NC(=O)c2ccccc21,CC(=O)Nc1ccc(C=O)cc1,0.238007,0.000176,18.336731,-561.220703,-3.116989,0.004631,15.408203,-786.251953,-2.353111,0.001124
O=C1NC(=O)c2ccccc21,Cc1cccc(CO)c1,0.248510,0.000193,16.917755,-374.376953,-2.950356,0.004836,15.763550,-632.128906,-2.456276,0.001407
O=C1NC(=O)c2ccccc21,COC(C)CO,0.231091,0.000161,18.230621,-601.173828,-3.051956,0.004271,15.935455,-858.921875,-2.416519,0.001129
O=C1NC(=O)c2ccccc21,Nc1nc(=O)c2ccccc2o1,0.229149,0.000157,18.822357,-497.011719,-3.144302,0.004249,14.089020,-875.630859,-2.195892,0.001640
O=C1NC(=O)c2ccccc21,CC(Cl)Br,0.277474,0.000234,13.769928,-310.990234,-2.692421,0.006743,17.499451,289.558594,-2.957664,0.001613
O=C1NC(=O)c2ccccc21,CCCOC(F)F,0.279877,0.000234,13.348541,-154.724609,-2.562515,0.006199,15.977509,340.630859,-2.801659,0.002311
O=C1NC(=O)c2ccccc21,COC1CC2CCC1(C)C2(C)C,0.234282,0.000137,13.722626,-447.912109,-2.191986,0.003380,13.695862,-186.423828,-2.243958,0.002119
O=C1NC(=O)c2ccccc21,CCC(=O)C1=NCCC1,0.222450,0.000134,16.593201,-846.525391,-2.671684,0.003896,15.263184,-736.087891,-2.298340,0.000461
O=C1NC(=O)c2ccccc21,NC(CF)(CF)CF,0.221218,0.000136,17.426758,-760.201172,-2.935562,0.004348,14.639252,-847.156250,-2.143539,0.000449
O=C1NC(=O)c2ccccc21,CC(C)CCCC(C)CC=O,0.245873,0.000171,14.964508,-391.654297,-2.487061,0.003938,15.058960,-341.511719,-2.435997,0.001935
O=C1NC(=O)c2ccccc21,Cc1coc(C)n1,0.213168,0.000118,17.107300,-875.242188,-2.810928,0.004019,14.425812,-877.882812,-2.091423,0.000166
O=C1NC(=O)c2ccccc21,NC(=S)NC(N)=S,0.222508,0.000135,18.156311,-657.953125,-3.005814,0.003862,18.240112,-930.960938,-2.735916,0.001399
O=C1NC(=O)c2ccccc21,FC(F)C(Cl)C(F)F,0.269546,0.000219,14.221100,-369.730469,-2.698311,0.006289,17.665100,85.576172,-2.935471,0.001466
O=C1NC(=O)c2ccccc21,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.251428,0.000166,9.283478,953.134766,-1.838898,0.003732,13.796661,1617.919922,-2.801270,0.004501
O=C1NC(=O)c2ccccc21,NNC(=O)c1ccccc1,0.235804,0.000175,18.824921,-539.513672,-3.183624,0.004486,15.937317,-853.281250,-2.450218,0.001329
O=C1NC(=O)c2ccccc21,ClC=CBr,0.275989,0.000223,12.802155,-271.779297,-2.505836,0.006326,17.218506,482.351562,-2.956711,0.002079
O=C1NC(=O)c2ccccc21,CN(C)N=O,0.229235,0.000156,18.414246,-790.712891,-3.116898,0.004711,17.299591,-814.169922,-2.550354,0.000479
O=C1NC(=O)c2ccccc21,c1ccc(C2CCCCC2)cc1,0.284766,0.000230,11.742188,238.568359,-2.275948,0.005658,13.986206,736.876953,-2.729233,0.004029
O=C1NC(=O)c2ccccc21,N#Cc1ccncc1,0.229711,0.000158,17.671265,-805.037109,-2.912727,0.004229,16.771149,-825.566406,-2.472015,0.000263
O=C1NC(=O)c2ccccc21,CN(C)C(=S)Nc1ccccc1,0.239829,0.000184,18.274261,-691.191406,-3.061279,0.004506,18.182343,-652.935547,-2.772247,0.000547
O=C1NC(=O)c2ccccc21,CCC(N)CC,0.187325,0.000052,15.954407,-910.464844,-2.735748,0.004212,10.346405,-946.214844,-1.525352,0.000374
O=C1NC(=O)c2ccccc21,COC(=O)CO,0.242098,0.000188,18.440521,-548.767578,-3.179527,0.004806,16.706329,-759.714844,-2.517303,0.000954
O=C1NC(=O)c2ccccc21,Cc1c(N)cccc1Cl,0.244732,0.000186,16.656677,-529.070312,-2.848885,0.004626,17.045197,-616.980469,-2.613846,0.000912
O=C1NC(=O)c2ccccc21,CC1CCC(C(C)(C)OO)CC1,0.243987,0.000179,16.348724,-296.095703,-2.778381,0.004286,14.796356,-650.138672,-2.354202,0.001887
O=C1NC(=O)c2ccccc21,CC(F)(Cl)CF,0.279514,0.000242,14.231598,-199.953125,-2.785706,0.006670,16.950653,190.914062,-2.894905,0.001880
O=C1NC(=O)c2ccccc21,CCCCC1OC(C)CC(C)(C)O1,0.216466,0.000112,15.188965,-597.453125,-2.373466,0.003120,13.050049,-699.027344,-2.031967,0.001381
O=C1NC(=O)c2ccccc21,CC(C)(C)OCC1CO1,0.228475,0.000148,16.666901,-680.019531,-2.705719,0.003806,15.770233,-750.958984,-2.377190,0.000771
O=C1NC(=O)c2ccccc21,O=P(O)(O)OP(=O)(O)O,0.168352,0.000001,18.965790,-1157.351562,-3.056702,0.004322,9.143280,-1265.476562,-1.527504,0.001292
O=C1NC(=O)c2ccccc21,CC(=O)Nc1ccc(C)cc1,0.237338,0.000171,17.462860,-617.179688,-2.945885,0.004528,15.124878,-739.480469,-2.294380,0.000841
O=C1NC(=O)c2ccccc21,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.248295,0.000204,18.809448,-341.011719,-3.237381,0.004656,17.699829,-691.750000,-2.708939,0.001365
