SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=S1(=O)C=Cc2ccccc21,O=P(Cl)(c1ccccc1)c1ccccc1,0.249783,0.000203,17.883545,-396.537109,-3.097267,0.004878,16.374969,-697.324219,-2.565506,0.001527
O=S1(=O)C=Cc2ccccc21,CC(=O)Nc1ccc(C=O)cc1,0.263892,0.000221,16.167755,189.042969,-3.043419,0.005628,15.163330,-262.972656,-2.589821,0.003263
O=S1(=O)C=Cc2ccccc21,Cc1cccc(CO)c1,0.253232,0.000200,15.100098,91.298828,-2.940781,0.006123,15.515839,-101.972656,-2.602921,0.002627
O=S1(=O)C=Cc2ccccc21,COC(C)CO,0.251423,0.000195,15.398956,32.326172,-2.950134,0.005920,16.429443,-243.402344,-2.689598,0.002563
O=S1(=O)C=Cc2ccccc21,Nc1nc(=O)c2ccccc2o1,0.259621,0.000212,17.375305,384.970703,-3.118103,0.004506,13.344086,-251.470703,-2.392761,0.003921
O=S1(=O)C=Cc2ccccc21,CC(Cl)Br,0.254097,0.000193,15.672943,-494.765625,-2.766380,0.004934,17.078186,-317.275391,-2.702698,0.001563
O=S1(=O)C=Cc2ccccc21,CCCOC(F)F,0.260816,0.000201,14.312256,-196.601562,-2.565224,0.004799,14.869110,-110.337891,-2.490250,0.002451
O=S1(=O)C=Cc2ccccc21,COC1CC2CCC1(C)C2(C)C,0.240423,0.000152,12.424866,127.533203,-2.154663,0.003483,14.028320,369.478516,-2.517761,0.003960
O=S1(=O)C=Cc2ccccc21,CCC(=O)C1=NCCC1,0.246866,0.000182,15.638489,-439.759766,-2.676346,0.004094,16.216705,-321.841797,-2.578667,0.001843
O=S1(=O)C=Cc2ccccc21,NC(CF)(CF)CF,0.249153,0.000191,15.418152,-179.746094,-2.940498,0.006234,16.220551,-293.484375,-2.548042,0.001662
O=S1(=O)C=Cc2ccccc21,CC(C)CCCC(C)CC=O,0.247853,0.000172,13.783142,-4.919922,-2.441345,0.004348,14.376007,41.255859,-2.533684,0.003357
O=S1(=O)C=Cc2ccccc21,Cc1coc(C)n1,0.244894,0.000182,15.527100,-336.806641,-2.833900,0.005381,16.523468,-320.343750,-2.621536,0.001617
O=S1(=O)C=Cc2ccccc21,NC(=S)NC(N)=S,0.206312,0.000095,19.865570,-813.787109,-3.284988,0.004315,18.791046,-1034.216797,-2.848640,0.001692
O=S1(=O)C=Cc2ccccc21,FC(F)C(Cl)C(F)F,0.235571,0.000155,17.525085,-704.025391,-3.016487,0.004378,17.728638,-674.214844,-2.660774,0.001219
O=S1(=O)C=Cc2ccccc21,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.227220,0.000128,11.364136,714.357422,-1.958733,0.002709,12.528473,846.714844,-2.435265,0.004042
O=S1(=O)C=Cc2ccccc21,NNC(=O)c1ccccc1,0.264584,0.000224,16.376587,148.281250,-3.146317,0.006270,15.938110,-325.242188,-2.654129,0.003099
O=S1(=O)C=Cc2ccccc21,ClC=CBr,0.248931,0.000173,15.129181,-557.691406,-2.652878,0.004529,17.052002,-197.865234,-2.741341,0.002035
O=S1(=O)C=Cc2ccccc21,CN(C)N=O,0.251671,0.000202,17.158478,-395.611328,-3.104630,0.005371,17.307800,-611.480469,-2.614433,0.001291
O=S1(=O)C=Cc2ccccc21,c1ccc(C2CCCCC2)cc1,0.250091,0.000173,13.011536,116.992188,-2.301277,0.003842,14.165100,304.765625,-2.598312,0.003912
O=S1(=O)C=Cc2ccccc21,N#Cc1ccncc1,0.250005,0.000200,17.434082,-546.935547,-3.025078,0.004765,17.474060,-713.226562,-2.688690,0.001184
O=S1(=O)C=Cc2ccccc21,CN(C)C(=S)Nc1ccccc1,0.231935,0.000168,19.127197,-753.537109,-3.206085,0.004386,18.131226,-864.779297,-2.701172,0.000649
O=S1(=O)C=Cc2ccccc21,CCC(N)CC,0.236077,0.000155,13.348846,-14.277344,-2.571358,0.005736,15.653015,12.482422,-2.579239,0.002618
O=S1(=O)C=Cc2ccccc21,COC(=O)CO,0.255295,0.000211,17.222473,-262.152344,-3.181953,0.005887,17.046722,-490.742188,-2.628105,0.001488
O=S1(=O)C=Cc2ccccc21,Cc1c(N)cccc1Cl,0.236853,0.000171,17.705078,-628.148438,-3.025749,0.004647,17.195221,-732.544922,-2.596588,0.000874
O=S1(=O)C=Cc2ccccc21,CC1CCC(C(C)(C)OO)CC1,0.246445,0.000180,14.952759,113.068359,-2.742027,0.004922,14.365387,-190.451172,-2.448517,0.003061
O=S1(=O)C=Cc2ccccc21,CC(F)(Cl)CF,0.258263,0.000206,15.968933,-391.275391,-2.827118,0.005025,16.539520,-407.554688,-2.602509,0.001545
O=S1(=O)C=Cc2ccccc21,CCCCC1OC(C)CC(C)(C)O1,0.245300,0.000163,13.392120,47.369141,-2.290215,0.003672,14.129730,63.402344,-2.513321,0.003733
