SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
OC1COC(Cc2ccccc2)OC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.252732,0.000207,17.776398,-432.109375,-3.092789,0.004978,16.480865,-674.435547,-2.553688,0.001297
OC1COC(Cc2ccccc2)OC1,CC(=O)Nc1ccc(C=O)cc1,0.252968,0.000199,17.148193,-330.062500,-3.006691,0.004972,15.273224,-651.154297,-2.390579,0.001744
OC1COC(Cc2ccccc2)OC1,Cc1cccc(CO)c1,0.253407,0.000202,16.606018,-421.267578,-2.934547,0.004976,16.485931,-610.486328,-2.535637,0.001201
OC1COC(Cc2ccccc2)OC1,COC(C)CO,0.244495,0.000187,17.597748,-463.402344,-3.079597,0.004925,16.982117,-733.689453,-2.567764,0.001234
OC1COC(Cc2ccccc2)OC1,Nc1nc(=O)c2ccccc2o1,0.240706,0.000169,17.303192,-302.712891,-2.917023,0.004215,14.134033,-724.931641,-2.200874,0.002092
OC1COC(Cc2ccccc2)OC1,CC(Cl)Br,0.276880,0.000236,14.278839,-354.759766,-2.751450,0.006329,17.742249,-7.613281,-2.948685,0.001771
OC1COC(Cc2ccccc2)OC1,CCCOC(F)F,0.283858,0.000244,13.706573,-164.082031,-2.631088,0.005870,16.222595,40.531250,-2.830116,0.002654
OC1COC(Cc2ccccc2)OC1,COC1CC2CCC1(C)C2(C)C,0.264814,0.000200,13.286224,-106.380859,-2.292900,0.004222,14.750824,120.912109,-2.569778,0.002843
OC1COC(Cc2ccccc2)OC1,CCC(=O)C1=NCCC1,0.247054,0.000186,16.177429,-614.105469,-2.720566,0.004395,16.738312,-530.044922,-2.568871,0.000810
OC1COC(Cc2ccccc2)OC1,NC(CF)(CF)CF,0.239251,0.000174,17.201141,-570.091797,-2.942154,0.004533,16.160156,-684.794922,-2.393013,0.000732
OC1COC(Cc2ccccc2)OC1,CC(C)CCCC(C)CC=O,0.261162,0.000207,15.081268,-283.753906,-2.618660,0.004636,16.018036,-316.062500,-2.620445,0.002023
OC1COC(Cc2ccccc2)OC1,Cc1coc(C)n1,0.229649,0.000155,17.527161,-764.960938,-2.927025,0.004290,16.405792,-787.998047,-2.397125,0.000368
OC1COC(Cc2ccccc2)OC1,NC(=S)NC(N)=S,0.217828,0.000100,16.263641,-808.181641,-2.631523,0.003861,15.889984,-733.728516,-2.350792,0.001578
OC1COC(Cc2ccccc2)OC1,FC(F)C(Cl)C(F)F,0.259396,0.000198,15.540039,-594.759766,-2.838005,0.005599,18.817017,-288.455078,-3.003929,0.001508
OC1COC(Cc2ccccc2)OC1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.252733,0.000168,11.214996,515.095703,-2.017670,0.003948,14.035675,749.773438,-2.637444,0.003769
OC1COC(Cc2ccccc2)OC1,NNC(=O)c1ccccc1,0.251189,0.000198,17.587494,-281.246094,-3.137962,0.005216,16.629089,-719.621094,-2.572670,0.002057
OC1COC(Cc2ccccc2)OC1,ClC=CBr,0.277206,0.000227,13.614380,-372.927734,-2.609276,0.005989,17.515839,121.466797,-2.986298,0.002300
OC1COC(Cc2ccccc2)OC1,CN(C)N=O,0.244056,0.000187,17.758850,-512.212891,-3.114784,0.005035,17.288025,-711.572266,-2.560539,0.000895
