SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Oc1cccc(-c2ccccc2)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.200929,0.000103,20.638580,-1121.068359,-3.308594,0.003966,14.887878,-1136.089844,-2.188286,0.000292
Oc1cccc(-c2ccccc2)c1,CC(=O)Nc1ccc(C=O)cc1,0.204106,0.000095,18.749237,-801.923828,-3.117630,0.004099,12.728607,-1054.843750,-1.906006,0.001273
Oc1cccc(-c2ccccc2)c1,Cc1cccc(CO)c1,0.220537,0.000136,18.625092,-726.201172,-3.131035,0.004286,14.511871,-892.441406,-2.166435,0.000911
Oc1cccc(-c2ccccc2)c1,COC(C)CO,0.181512,0.000050,21.233276,-1184.832031,-3.303833,0.003684,14.626648,-1368.369141,-2.272911,0.001395
Oc1cccc(-c2ccccc2)c1,Nc1nc(=O)c2ccccc2o1,0.215788,0.000120,18.088318,-316.201172,-3.023064,0.003762,11.132324,-762.523438,-1.758263,0.002046
Oc1cccc(-c2ccccc2)c1,CC(Cl)Br,0.276473,0.000239,14.416962,-191.160156,-2.857201,0.006970,16.318268,161.050781,-2.735451,0.001398
Oc1cccc(-c2ccccc2)c1,CCCOC(F)F,0.266909,0.000223,15.196198,-317.365234,-2.816216,0.005954,16.523254,-108.994141,-2.697823,0.001277
Oc1cccc(-c2ccccc2)c1,COC1CC2CCC1(C)C2(C)C,0.220238,0.000122,16.716034,-838.771484,-2.620827,0.003315,15.165466,-609.351562,-2.337959,0.001014
Oc1cccc(-c2ccccc2)c1,CCC(=O)C1=NCCC1,0.183032,0.000053,19.857849,-1349.007812,-2.962234,0.003314,14.545166,-1240.748047,-2.213989,0.000384
Oc1cccc(-c2ccccc2)c1,NC(CF)(CF)CF,0.188842,0.000061,17.855865,-1006.246094,-2.988419,0.004036,11.898529,-1032.005859,-1.690155,0.000171
Oc1cccc(-c2ccccc2)c1,CC(C)CCCC(C)CC=O,0.204266,0.000095,18.856079,-1088.546875,-3.019318,0.003703,15.456573,-1010.148438,-2.255943,0.000566
Oc1cccc(-c2ccccc2)c1,Cc1coc(C)n1,0.164191,0.000011,20.944489,-1469.802734,-3.324860,0.003782,13.162842,-1391.994141,-1.900742,0.000297
Oc1cccc(-c2ccccc2)c1,NC(=S)NC(N)=S,0.256544,0.000185,14.028595,634.888672,-2.914909,0.006613,15.143646,423.787109,-2.196617,0.002366
Oc1cccc(-c2ccccc2)c1,FC(F)C(Cl)C(F)F,0.272799,0.000231,14.408752,-71.591797,-2.852982,0.006575,15.265015,71.851562,-2.506088,0.001478
Oc1cccc(-c2ccccc2)c1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.259382,0.000188,10.822876,1113.146484,-2.246536,0.004796,10.949036,1183.285156,-2.312904,0.004131
Oc1cccc(-c2ccccc2)c1,NNC(=O)c1ccccc1,0.202554,0.000094,18.517731,-788.855469,-3.079369,0.003979,13.305542,-1080.810547,-1.983078,0.001253
