SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Oc1ccccc1C=Nc1ccccc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.244296,0.000204,20.015015,-583.734375,-3.411690,0.004869,17.804443,-810.029297,-2.693504,0.000874
Oc1ccccc1C=Nc1ccccc1,CC(=O)Nc1ccc(C=O)cc1,0.257692,0.000208,17.879181,157.462891,-3.168488,0.004762,14.670166,-390.507812,-2.452621,0.002777
Oc1ccccc1C=Nc1ccccc1,Cc1cccc(CO)c1,0.257605,0.000215,17.164490,-94.185547,-3.160713,0.005539,16.375153,-459.824219,-2.641739,0.002231
Oc1ccccc1C=Nc1ccccc1,COC(C)CO,0.245745,0.000197,18.657867,-299.517578,-3.288574,0.005040,17.972321,-717.072266,-2.774307,0.001749
Oc1ccccc1C=Nc1ccccc1,Nc1nc(=O)c2ccccc2o1,0.251482,0.000184,17.530426,589.175781,-3.089264,0.003976,11.734100,-33.121094,-2.117439,0.003872
Oc1ccccc1C=Nc1ccccc1,CC(Cl)Br,0.266929,0.000231,16.375488,-478.736328,-3.042862,0.005955,17.483337,-384.701172,-2.754410,0.000978
Oc1ccccc1C=Nc1ccccc1,CCCOC(F)F,0.270088,0.000233,15.904633,-333.324219,-2.916786,0.005559,16.036041,-382.972656,-2.588890,0.001495
Oc1ccccc1C=Nc1ccccc1,COC1CC2CCC1(C)C2(C)C,0.248457,0.000187,16.050781,-391.923828,-2.716026,0.004084,16.047424,-410.691406,-2.564026,0.001690
Oc1ccccc1C=Nc1ccccc1,CCC(=O)C1=NCCC1,0.237479,0.000177,17.905182,-633.583984,-2.996758,0.004281,17.610107,-758.351562,-2.653687,0.000680
Oc1ccccc1C=Nc1ccccc1,NC(CF)(CF)CF,0.246622,0.000188,16.712250,-217.019531,-3.060822,0.005272,16.650269,-449.884766,-2.517792,0.001591
Oc1ccccc1C=Nc1ccccc1,CC(C)CCCC(C)CC=O,0.246876,0.000195,17.361176,-473.574219,-2.985733,0.004661,16.812164,-665.291016,-2.590149,0.001084
Oc1ccccc1C=Nc1ccccc1,Cc1coc(C)n1,0.226013,0.000153,19.061615,-739.558594,-3.171608,0.004125,17.128967,-866.511719,-2.525505,0.000688
Oc1ccccc1C=Nc1ccccc1,NC(=S)NC(N)=S,0.234823,0.000149,16.883636,170.523438,-3.091690,0.005377,16.819000,-142.599609,-2.389015,0.001773
Oc1ccccc1C=Nc1ccccc1,FC(F)C(Cl)C(F)F,0.255322,0.000207,16.890259,-470.869141,-3.040840,0.005355,17.320496,-523.703125,-2.649384,0.000995
Oc1ccccc1C=Nc1ccccc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.251856,0.000182,13.214569,513.742188,-2.455261,0.004500,12.310150,432.859375,-2.204254,0.002647
Oc1ccccc1C=Nc1ccccc1,NNC(=O)c1ccccc1,0.261944,0.000212,17.018311,254.267578,-3.180138,0.005300,15.188354,-263.281250,-2.487709,0.003047
Oc1ccccc1C=Nc1ccccc1,ClC=CBr,0.266464,0.000225,16.099701,-537.304688,-2.933273,0.005543,17.956818,-399.625000,-2.878555,0.001437
Oc1ccccc1C=Nc1ccccc1,CN(C)N=O,0.240479,0.000185,18.753357,-489.148438,-3.294617,0.004975,18.113495,-697.281250,-2.646301,0.000943
Oc1ccccc1C=Nc1ccccc1,c1ccc(C2CCCCC2)cc1,0.272979,0.000230,15.281158,-220.076172,-2.772156,0.005358,15.341644,-193.357422,-2.610336,0.002401
Oc1ccccc1C=Nc1ccccc1,N#Cc1ccncc1,0.239949,0.000183,18.596100,-581.625000,-3.149414,0.004521,17.730286,-818.625000,-2.663895,0.001040
Oc1ccccc1C=Nc1ccccc1,CN(C)C(=S)Nc1ccccc1,0.242470,0.000191,18.592957,-492.160156,-3.163063,0.004456,17.386597,-742.919922,-2.624901,0.001077
Oc1ccccc1C=Nc1ccccc1,CCC(N)CC,0.217901,0.000131,17.777832,-550.164062,-3.005981,0.004139,15.868408,-723.498047,-2.398132,0.001314
Oc1ccccc1C=Nc1ccccc1,COC(=O)CO,0.251974,0.000203,17.680817,-233.898438,-3.263733,0.005373,17.154327,-465.527344,-2.557777,0.001480
Oc1ccccc1C=Nc1ccccc1,Cc1c(N)cccc1Cl,0.250075,0.000205,18.180328,-471.175781,-3.168541,0.004974,17.489624,-712.187500,-2.677162,0.001127
Oc1ccccc1C=Nc1ccccc1,CC1CCC(C(C)(C)OO)CC1,0.247407,0.000198,17.806488,-305.115234,-3.087662,0.004802,17.050568,-643.460938,-2.662582,0.001543
