SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
OC(C(F)(F)F)C(F)(F)Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.166815,0.000015,21.707764,-1213.125000,-3.592850,0.004154,12.528107,-1377.500000,-1.895660,0.001075
OC(C(F)(F)F)C(F)(F)Cl,CC(=O)Nc1ccc(C=O)cc1,0.157876,-0.000020,21.188202,-1256.642578,-3.515427,0.004587,9.916779,-1529.150391,-1.605515,0.001964
OC(C(F)(F)F)C(F)(F)Cl,Cc1cccc(CO)c1,0.174483,0.000024,20.046570,-1155.304688,-3.303230,0.004171,12.498810,-1300.080078,-1.852127,0.001273
OC(C(F)(F)F)C(F)(F)Cl,COC(C)CO,0.144858,-0.000044,23.480377,-1610.347656,-3.609505,0.004476,11.135742,-1834.234375,-1.965683,0.002582
OC(C(F)(F)F)C(F)(F)Cl,Nc1nc(=O)c2ccccc2o1,0.167920,0.000004,20.234558,-1088.658203,-3.335602,0.004154,9.401215,-1414.501953,-1.434204,0.002045
OC(C(F)(F)F)C(F)(F)Cl,CC(Cl)Br,0.269910,0.000228,15.240906,34.318359,-2.861008,0.005528,15.073212,-102.068359,-2.548302,0.002466
OC(C(F)(F)F)C(F)(F)Cl,CCCOC(F)F,0.248885,0.000188,17.226685,-586.597656,-2.994980,0.005162,16.923798,-603.863281,-2.693466,0.001485
OC(C(F)(F)F)C(F)(F)Cl,COC1CC2CCC1(C)C2(C)C,0.176796,0.000022,18.164124,-1187.457031,-2.913132,0.003596,12.340027,-1135.888672,-1.792450,0.000929
OC(C(F)(F)F)C(F)(F)Cl,CCC(=O)C1=NCCC1,0.146912,-0.000038,22.003357,-1678.878906,-3.349434,0.004155,11.521301,-1648.951172,-1.945129,0.001224
OC(C(F)(F)F)C(F)(F)Cl,NC(CF)(CF)CF,0.147844,-0.000034,20.766632,-1620.158203,-3.399109,0.004454,10.059570,-1564.525391,-1.512077,0.000393
OC(C(F)(F)F)C(F)(F)Cl,CC(C)CCCC(C)CC=O,0.162850,0.000000,20.820709,-1449.945312,-3.325668,0.003745,13.591370,-1372.884766,-1.945381,0.000743
OC(C(F)(F)F)C(F)(F)Cl,Cc1coc(C)n1,0.133938,-0.000062,22.920013,-1814.027344,-3.673111,0.004305,10.898529,-1715.968750,-1.650185,0.000929
