SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.220409,0.000153,21.632355,-764.751953,-3.478378,0.003764,17.567749,-1024.257812,-2.644775,0.001026
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,CC(=O)Nc1ccc(C=O)cc1,0.225538,0.000129,19.060913,59.419922,-3.039192,0.002488,11.707916,-494.230469,-1.980576,0.003243
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,Cc1cccc(CO)c1,0.235820,0.000164,18.876312,-189.904297,-3.192131,0.003656,14.555908,-598.121094,-2.340813,0.002362
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,COC(C)CO,0.208338,0.000104,20.360840,-685.835938,-3.236679,0.003084,16.501343,-1088.693359,-2.524239,0.002195
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,Nc1nc(=O)c2ccccc2o1,0.235457,0.000157,19.796875,849.703125,-2.957092,0.001671,9.995911,-56.259766,-2.015244,0.004154
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,CC(Cl)Br,0.258307,0.000219,17.449371,-480.445312,-3.118317,0.005430,16.829529,-578.359375,-2.572838,0.000840
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,CCCOC(F)F,0.258704,0.000213,16.621368,-322.257812,-2.935852,0.004977,15.608765,-510.103516,-2.463173,0.001404
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,COC1CC2CCC1(C)C2(C)C,0.230936,0.000159,17.876007,-699.962891,-2.910957,0.003611,17.264496,-729.505859,-2.634277,0.000880
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,CCC(=O)C1=NCCC1,0.209366,0.000112,19.648621,-920.384766,-3.100426,0.003177,17.816284,-1073.513672,-2.635948,0.001077
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,NC(CF)(CF)CF,0.221623,0.000131,17.534882,-299.662109,-2.868286,0.003332,14.212799,-654.785156,-2.127510,0.001817
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,CC(C)CCCC(C)CC=O,0.204995,0.000105,20.760040,-1083.296875,-3.344276,0.003485,17.836548,-1089.070312,-2.555717,0.000642
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,Cc1coc(C)n1,0.188118,0.000068,22.018585,-1181.664062,-3.451469,0.003096,17.355499,-1261.093750,-2.452583,0.000990
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,NC(=S)NC(N)=S,0.227014,0.000125,15.804474,1364.140625,-2.971519,0.005048,14.098663,824.453125,-2.294769,0.003086
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,FC(F)C(Cl)C(F)F,0.260994,0.000211,15.766052,-78.992188,-3.039360,0.006066,15.283966,-145.652344,-2.322975,0.001583
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.244368,0.000167,12.664185,879.710938,-2.492874,0.004374,11.987244,685.449219,-2.255325,0.003826
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,NNC(=O)c1ccccc1,0.230628,0.000147,19.063843,8.171875,-3.139305,0.003261,14.428345,-618.824219,-2.351288,0.003065
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,ClC=CBr,0.260758,0.000218,16.639404,-465.212891,-2.986366,0.005296,16.539795,-527.511719,-2.564140,0.001032
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,CN(C)N=O,0.200701,0.000086,21.023590,-855.669922,-3.389862,0.003543,16.554413,-1107.130859,-2.367065,0.001450
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,c1ccc(C2CCCCC2)cc1,0.257896,0.000213,17.057831,-367.865234,-2.975304,0.004879,15.777191,-571.789062,-2.539009,0.001622
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,N#Cc1ccncc1,0.188737,0.000067,20.890900,-1157.285156,-3.222198,0.003150,16.101227,-1276.427734,-2.351341,0.001010
