SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.202375,0.000101,19.243561,-1114.832031,-3.189400,0.004538,14.776703,-1055.523438,-2.175995,0.000102
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CC(=O)Nc1ccc(C=O)cc1,0.200325,0.000091,18.805695,-829.908203,-3.185616,0.004381,13.031738,-1081.064453,-1.917633,0.000940
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,Cc1cccc(CO)c1,0.223964,0.000140,17.628845,-598.974609,-3.063164,0.004700,13.793732,-846.685547,-2.081139,0.001071
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,COC(C)CO,0.179871,0.000046,20.950439,-1209.386719,-3.273758,0.004068,13.737274,-1414.267578,-2.205734,0.001318
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,Nc1nc(=O)c2ccccc2o1,0.207445,0.000103,17.672485,-537.976562,-3.067574,0.004572,11.192596,-963.693359,-1.693451,0.001512
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CC(Cl)Br,0.278210,0.000239,13.752441,-282.947266,-2.772247,0.007392,17.598694,390.763672,-2.946701,0.001184
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CCCOC(F)F,0.272251,0.000226,13.726929,-182.300781,-2.652504,0.006356,16.390350,263.585938,-2.758430,0.001507
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,COC1CC2CCC1(C)C2(C)C,0.207561,0.000090,15.677124,-931.611328,-2.532372,0.003790,14.069092,-610.160156,-2.149162,0.000722
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CCC(=O)C1=NCCC1,0.179390,0.000043,19.172607,-1383.974609,-2.907356,0.003812,13.677948,-1284.148438,-2.157112,0.000239
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,NC(CF)(CF)CF,0.183335,0.000043,17.412079,-986.023438,-3.097672,0.004742,10.241394,-1070.986328,-1.464607,0.000136
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CC(C)CCCC(C)CC=O,0.208795,0.000106,17.747375,-996.623047,-2.888634,0.004018,15.541229,-904.708984,-2.297195,0.000320
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,Cc1coc(C)n1,0.170758,0.000025,20.158508,-1372.966797,-3.287010,0.004197,13.027496,-1337.039062,-1.929077,0.000125
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,NC(=S)NC(N)=S,0.247493,0.000179,15.314728,168.572266,-2.953712,0.005720,16.909698,-78.830078,-2.416084,0.001521
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,FC(F)C(Cl)C(F)F,0.280784,0.000239,12.789886,66.941406,-2.678970,0.007188,15.234375,517.755859,-2.630501,0.001806
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.252205,0.000170,8.520844,1275.791016,-1.950996,0.004751,11.970123,1953.265625,-2.611015,0.004148
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,NNC(=O)c1ccccc1,0.193339,0.000077,19.199585,-937.117188,-3.296196,0.004590,13.387268,-1213.476562,-1.985687,0.000845
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,ClC=CBr,0.282471,0.000237,12.512573,-217.117188,-2.586678,0.007325,16.961365,666.781250,-2.935738,0.001784
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CN(C)N=O,0.178594,0.000044,21.156860,-1280.814453,-3.464302,0.004376,15.680511,-1341.396484,-2.241661,0.000605
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,c1ccc(C2CCCCC2)cc1,0.279883,0.000228,12.623505,25.205078,-2.448067,0.005981,15.273529,576.787109,-2.813927,0.003130
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,N#Cc1ccncc1,0.189624,0.000068,19.015350,-1220.246094,-3.042297,0.004027,14.724365,-1257.800781,-2.168922,0.000285
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CN(C)C(=S)Nc1ccccc1,0.240886,0.000185,18.264038,-614.789062,-3.100266,0.004596,18.348663,-653.533203,-2.773514,0.000700
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CCC(N)CC,0.152951,-0.000027,18.773499,-1421.558594,-3.257408,0.004929,8.009644,-1376.558594,-1.249458,-0.000038
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,COC(=O)CO,0.203925,0.000105,19.892334,-890.330078,-3.343399,0.004188,15.526886,-1121.248047,-2.246872,0.000856
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,Cc1c(N)cccc1Cl,0.238839,0.000173,17.032837,-595.707031,-2.942772,0.004798,15.880371,-671.611328,-2.373177,0.000682
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CC1CCC(C(C)(C)OO)CC1,0.235056,0.000166,17.604736,-435.054688,-2.986053,0.004332,14.916321,-770.804688,-2.313606,0.001539
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CC(F)(Cl)CF,0.278329,0.000239,13.809204,-117.132812,-2.802422,0.007278,16.499817,383.070312,-2.784798,0.001488
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CCCCC1OC(C)CC(C)(C)O1,0.193032,0.000068,17.239990,-1054.417969,-2.623108,0.003394,12.704102,-1102.585938,-1.977577,0.000756
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CC(C)(C)OCC1CO1,0.190472,0.000070,19.319183,-1158.785156,-2.948517,0.003454,14.753754,-1188.236328,-2.278099,0.000623
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,O=P(O)(O)OP(=O)(O)O,0.235048,0.000123,13.496094,539.271484,-2.732285,0.005887,9.432556,15.472656,-1.347748,0.004121
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CC(=O)Nc1ccc(C)cc1,0.208733,0.000110,18.102539,-892.943359,-3.069969,0.004568,13.597961,-978.748047,-1.987839,0.000362
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.228173,0.000155,19.511719,-373.751953,-3.242188,0.004006,15.681854,-717.335938,-2.346710,0.001216
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CC(C)(O)CCC1CCCCC1,0.203344,0.000088,16.902863,-710.851562,-2.820595,0.004048,11.981781,-988.558594,-1.861122,0.001353
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,COCC(F)(F)F,0.246867,0.000178,14.714996,-418.941406,-2.665344,0.005560,14.920197,-131.427734,-2.287369,0.000403
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,COCC(O)COC,0.168924,0.000023,21.852722,-1393.431641,-3.373055,0.004028,13.670715,-1520.964844,-2.170143,0.001170
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.201481,0.000099,19.498627,-662.455078,-3.150742,0.004106,12.395599,-1218.314453,-2.031265,0.002051
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.244133,0.000186,17.945374,-283.312500,-3.153191,0.004738,16.354523,-735.513672,-2.499161,0.001859
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CC(C)C(F)F,0.281259,0.000236,12.592743,11.533203,-2.582512,0.006871,15.589264,627.585938,-2.778801,0.002239
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,CCCCC1C=C(C)CC(C)O1,0.200082,0.000076,15.825684,-972.509766,-2.534882,0.003692,12.875519,-795.732422,-1.959869,0.000609
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,COc1ccc(C(C)=O)cc1,0.190763,0.000073,19.568451,-1271.593750,-3.124710,0.004110,14.616302,-1217.798828,-2.134338,0.000068
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,Oc1cc(O)ncn1,0.245789,0.000175,16.344696,93.431641,-3.060356,0.005441,14.694214,-564.925781,-2.326599,0.003264
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,COCCCCl,0.209104,0.000101,16.935181,-1006.525391,-2.805473,0.004323,14.724518,-908.777344,-2.151009,0.000233
