SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.242653,0.000181,17.828033,50.591797,-3.113014,0.004090,14.466003,-140.761719,-2.229675,0.001819
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.255885,0.000196,16.091461,1097.015625,-2.933067,0.002986,11.882751,547.513672,-2.269974,0.004722
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,Cc1cccc(CO)c1,0.262429,0.000214,15.812775,507.642578,-3.005592,0.004545,13.220184,154.763672,-2.313507,0.003628
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,COC(C)CO,0.250662,0.000196,16.901733,-70.177734,-3.068604,0.004612,16.767731,-434.462891,-2.577469,0.002337
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.233728,0.000155,14.460449,2201.375000,-2.687340,0.000687,10.197845,1439.074219,-2.331192,0.006847
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,CC(Cl)Br,0.267071,0.000221,14.794250,112.757812,-2.839752,0.005445,13.350311,124.824219,-2.129730,0.001828
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,CCCOC(F)F,0.264809,0.000227,16.832916,-278.103516,-3.032272,0.005409,15.967957,-458.982422,-2.479515,0.001472
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.255622,0.000199,15.400818,-128.410156,-2.712746,0.004440,14.564697,-282.820312,-2.326599,0.001900
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,CCC(=O)C1=NCCC1,0.244140,0.000182,16.616730,-377.953125,-2.886024,0.004433,16.507904,-513.128906,-2.467255,0.001128
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,NC(CF)(CF)CF,0.250738,0.000196,16.833130,-217.935547,-3.008530,0.004776,16.297546,-498.996094,-2.440491,0.001643
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,CC(C)CCCC(C)CC=O,0.254183,0.000203,16.610443,-141.136719,-2.940971,0.004599,15.221344,-394.548828,-2.398483,0.001876
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,Cc1coc(C)n1,0.245315,0.000183,16.759491,-389.042969,-3.003685,0.004825,16.960114,-481.005859,-2.459282,0.001213
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,NC(=S)NC(N)=S,0.200157,0.000085,14.598846,1888.781250,-2.945297,0.003501,12.567047,1663.718750,-2.164169,0.003176
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,FC(F)C(Cl)C(F)F,0.257669,0.000219,18.235931,-434.833984,-3.250381,0.005501,16.510376,-512.130859,-2.454620,0.000851
O=CC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.257112,0.000221,19.010590,-523.771484,-3.265083,0.005222,16.520142,-661.201172,-2.528610,0.001396
