SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=S(=O)(NS(=O)(=O)C(F)(F)F)c1ccc(Cl)cc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.165542,0.000025,21.429535,-1432.816406,-3.580528,0.004263,13.371124,-1327.791016,-1.799484,-0.000544
O=S(=O)(NS(=O)(=O)C(F)(F)F)c1ccc(Cl)cc1,CC(=O)Nc1ccc(C=O)cc1,0.160915,-0.000005,19.665924,-1254.326172,-3.466621,0.004751,8.485718,-1235.507812,-1.130135,-0.000024
O=S(=O)(NS(=O)(=O)C(F)(F)F)c1ccc(Cl)cc1,Cc1cccc(CO)c1,0.178736,0.000043,18.991852,-1111.248047,-3.242096,0.004281,11.414948,-1104.546875,-1.562775,-0.000029
O=S(=O)(NS(=O)(=O)C(F)(F)F)c1ccc(Cl)cc1,COC(C)CO,0.152983,-0.000025,21.730652,-1458.511719,-3.582077,0.004727,10.526215,-1559.201172,-1.647209,0.001190
O=S(=O)(NS(=O)(=O)C(F)(F)F)c1ccc(Cl)cc1,Nc1nc(=O)c2ccccc2o1,0.176503,0.000028,18.610809,-857.232422,-3.274658,0.004966,6.220673,-890.701172,-0.938538,0.000322
O=S(=O)(NS(=O)(=O)C(F)(F)F)c1ccc(Cl)cc1,CC(Cl)Br,0.260627,0.000214,15.764740,-495.396484,-2.907562,0.006044,18.070679,-158.894531,-2.821854,0.000814
O=S(=O)(NS(=O)(=O)C(F)(F)F)c1ccc(Cl)cc1,CCCOC(F)F,0.246698,0.000186,16.267670,-579.701172,-2.842155,0.005050,17.155823,-419.759766,-2.623566,0.000749
O=S(=O)(NS(=O)(=O)C(F)(F)F)c1ccc(Cl)cc1,COC1CC2CCC1(C)C2(C)C,0.193632,0.000061,16.394775,-1044.035156,-2.645119,0.003481,12.778168,-772.900391,-1.802025,0.000322
O=S(=O)(NS(=O)(=O)C(F)(F)F)c1ccc(Cl)cc1,CCC(=O)C1=NCCC1,0.162094,-0.000003,20.289032,-1587.361328,-3.191223,0.004179,12.818176,-1381.941406,-1.937447,0.000214
O=S(=O)(NS(=O)(=O)C(F)(F)F)c1ccc(Cl)cc1,NC(CF)(CF)CF,0.157142,-0.000008,19.632141,-1462.630859,-3.430435,0.004890,9.796875,-1306.527344,-1.315636,-0.000758
O=S(=O)(NS(=O)(=O)C(F)(F)F)c1ccc(Cl)cc1,CC(C)CCCC(C)CC=O,0.167920,0.000016,19.501465,-1427.386719,-3.227142,0.003961,13.122955,-1162.130859,-1.737068,-0.000440
O=S(=O)(NS(=O)(=O)C(F)(F)F)c1ccc(Cl)cc1,Cc1coc(C)n1,0.140514,-0.000044,22.190979,-1751.613281,-3.713242,0.004664,11.267700,-1539.054688,-1.559143,-0.000191
