SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.242161,0.000197,19.676819,-557.941406,-3.382919,0.004926,17.736481,-826.505859,-2.690094,0.001052
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CC(=O)Nc1ccc(C=O)cc1,0.266551,0.000222,16.915894,407.085938,-3.144325,0.005141,13.967010,-76.244141,-2.413406,0.003386
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,Cc1cccc(CO)c1,0.260454,0.000215,16.191650,170.205078,-3.124878,0.005932,15.397278,-145.019531,-2.599930,0.002941
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,COC(C)CO,0.247597,0.000193,17.411530,-202.154297,-3.192101,0.005338,17.489380,-523.705078,-2.721672,0.001969
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,Nc1nc(=O)c2ccccc2o1,0.255854,0.000192,16.278687,1099.234375,-2.978699,0.003469,10.729980,479.501953,-2.130615,0.004953
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CC(Cl)Br,0.253425,0.000206,17.367401,-634.472656,-3.092384,0.005281,17.845764,-583.630859,-2.725594,0.000730
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CCCOC(F)F,0.261118,0.000216,16.187012,-366.705078,-2.929459,0.005332,16.296875,-440.074219,-2.544533,0.001299
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,COC1CC2CCC1(C)C2(C)C,0.242985,0.000173,15.416077,-379.210938,-2.680710,0.004329,15.963165,-249.324219,-2.578690,0.001874
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CCC(=O)C1=NCCC1,0.240904,0.000180,17.893280,-711.660156,-3.048965,0.004696,18.025055,-755.335938,-2.701965,0.000646
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,NC(CF)(CF)CF,0.251014,0.000192,15.332855,-86.019531,-3.036705,0.006527,16.385925,-147.861328,-2.436661,0.001707
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CC(C)CCCC(C)CC=O,0.243211,0.000185,17.321960,-534.703125,-3.040886,0.004973,17.290100,-601.882812,-2.667984,0.001119
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,Cc1coc(C)n1,0.237819,0.000174,18.083466,-647.919922,-3.181183,0.005041,18.171112,-715.882812,-2.713005,0.000870
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,NC(=S)NC(N)=S,0.229717,0.000138,16.615875,19.259766,-3.167076,0.005831,17.874908,-99.046875,-2.440491,0.001430
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,FC(F)C(Cl)C(F)F,0.242112,0.000177,17.136597,-565.089844,-3.067841,0.005124,17.268555,-525.037109,-2.517624,0.000749
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.231261,0.000141,12.464447,515.599609,-2.271034,0.003913,12.822083,665.457031,-2.316177,0.002723
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,NNC(=O)c1ccccc1,0.265697,0.000216,15.977509,401.476562,-3.154411,0.006082,14.947205,3.748047,-2.474945,0.003280
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,ClC=CBr,0.249329,0.000191,17.152832,-739.957031,-3.001442,0.004936,18.112244,-507.906250,-2.792496,0.000895
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CN(C)N=O,0.237920,0.000175,18.496063,-560.445312,-3.315613,0.005177,18.745850,-638.326172,-2.635796,0.000823
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,c1ccc(C2CCCCC2)cc1,0.256313,0.000200,15.512207,-313.710938,-2.767876,0.004934,15.674377,-256.369141,-2.577660,0.002084
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,N#Cc1ccncc1,0.243939,0.000187,18.336945,-612.208984,-3.202835,0.004678,18.183624,-784.730469,-2.754318,0.001300
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CN(C)C(=S)Nc1ccccc1,0.238752,0.000182,18.758087,-573.242188,-3.225090,0.004606,17.679626,-734.201172,-2.623978,0.000868
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CCC(N)CC,0.236056,0.000164,16.034882,-328.980469,-2.983467,0.005624,17.395294,-455.589844,-2.696381,0.001689
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,COC(=O)CO,0.253047,0.000203,16.899872,-135.359375,-3.254875,0.005809,16.977631,-262.357422,-2.470024,0.001526
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,Cc1c(N)cccc1Cl,0.245677,0.000194,18.192993,-559.554688,-3.175201,0.005056,17.600525,-713.943359,-2.655968,0.000841
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CC1CCC(C(C)(C)OO)CC1,0.255113,0.000208,16.702087,-63.455078,-3.078453,0.005571,16.616272,-414.236328,-2.677856,0.002223
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CC(F)(Cl)CF,0.257070,0.000213,16.947845,-444.357422,-3.096054,0.005594,16.957336,-487.910156,-2.545456,0.000821
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CCCCC1OC(C)CC(C)(C)O1,0.241956,0.000176,16.661285,-486.740234,-2.852997,0.004384,16.835358,-552.027344,-2.651886,0.001594
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CC(C)(C)OCC1CO1,0.238446,0.000176,18.035553,-647.394531,-3.116135,0.004840,17.722198,-743.207031,-2.681580,0.000881
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,O=P(O)(O)OP(=O)(O)O,0.204717,0.000058,14.024811,1176.341797,-2.761856,0.004641,6.232025,806.875000,-1.051285,0.004799
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CC(=O)Nc1ccc(C)cc1,0.266290,0.000226,16.709473,102.621094,-3.073799,0.005304,15.293304,-327.285156,-2.570702,0.002876
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.248915,0.000186,17.737762,-30.107422,-3.276955,0.005618,15.424133,-104.316406,-2.249840,0.001007
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CC(C)(O)CCC1CCCCC1,0.255169,0.000202,15.406006,207.343750,-2.946266,0.005582,15.294464,-122.548828,-2.642258,0.003242
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,COCC(F)(F)F,0.259664,0.000209,15.309143,-245.080078,-2.889465,0.005499,16.074127,-273.330078,-2.486351,0.001451
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,COCC(O)COC,0.241611,0.000184,18.857452,-541.917969,-3.325111,0.005199,18.368927,-776.673828,-2.748985,0.001266
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.265241,0.000219,17.197815,592.152344,-3.161568,0.004635,13.686798,-94.169922,-2.485710,0.004272
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.240874,0.000176,17.962799,56.474609,-3.158928,0.004099,14.537201,-387.025391,-2.272247,0.002322
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CC(C)C(F)F,0.261524,0.000213,15.497711,-365.771484,-2.829025,0.005303,16.450928,-267.791016,-2.649460,0.001588
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CCCCC1C=C(C)CC(C)O1,0.240184,0.000171,16.168732,-443.937500,-2.782974,0.004309,16.514954,-425.699219,-2.623001,0.001651
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,COc1ccc(C(C)=O)cc1,0.248960,0.000202,18.258789,-528.613281,-3.246284,0.005360,17.695984,-696.599609,-2.635971,0.000946
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,Oc1cc(O)ncn1,0.252583,0.000183,14.520905,975.667969,-2.948692,0.005063,13.942596,350.085938,-2.426094,0.004806
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,COCCCCl,0.251866,0.000199,16.362885,-469.218750,-2.957848,0.005306,17.234497,-501.464844,-2.657913,0.001138
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CCCOC,0.239083,0.000168,16.175812,-553.015625,-2.850662,0.004525,17.137146,-461.894531,-2.712509,0.001494
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,Fc1c(F)c(F)c(F)c(F)c1F,0.246510,0.000174,13.584686,-45.107422,-2.478340,0.004663,14.613403,221.832031,-2.495125,0.002297
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CCP(CC)CC,0.241188,0.000170,16.198517,-534.097656,-2.789352,0.004266,16.645233,-433.277344,-2.628784,0.001582
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.244229,0.000178,16.631927,-389.234375,-2.822708,0.004159,16.612030,-602.486328,-2.675369,0.002130
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,Fc1cc(F)c(F)cc1F,0.255397,0.000200,15.386719,-340.783203,-2.756836,0.004900,15.527008,-279.552734,-2.470276,0.001471
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,CCCCc1ccc(C(=O)O)cc1,0.255134,0.000208,17.040710,-169.738281,-3.047989,0.005129,16.272369,-520.398438,-2.599731,0.001951
