SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.243025,0.000196,18.905457,-554.289062,-3.246010,0.004861,17.628143,-787.908203,-2.677414,0.000936
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,CC(=O)Nc1ccc(C=O)cc1,0.261934,0.000217,16.799194,112.867188,-3.086174,0.005233,15.061432,-311.537109,-2.503723,0.002758
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,Cc1cccc(CO)c1,0.257180,0.000207,15.393707,156.613281,-2.997337,0.005926,15.356567,-87.529297,-2.591202,0.002815
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,COC(C)CO,0.248873,0.000196,16.883636,-152.289062,-3.100327,0.005404,17.477814,-487.968750,-2.750275,0.002011
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,Nc1nc(=O)c2ccccc2o1,0.258098,0.000200,16.960144,727.343750,-3.042877,0.004014,11.580292,117.908203,-2.216568,0.004283
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,CC(Cl)Br,0.255880,0.000203,16.598236,-643.601562,-2.962975,0.005310,18.361786,-377.931641,-2.868912,0.001103
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,CCCOC(F)F,0.262059,0.000210,15.200836,-318.798828,-2.776779,0.005370,16.436615,-219.582031,-2.657272,0.001833
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,COC1CC2CCC1(C)C2(C)C,0.239755,0.000159,13.597382,-118.742188,-2.421104,0.004036,15.649017,75.068359,-2.615967,0.002945
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,CCC(=O)C1=NCCC1,0.242632,0.000180,17.167755,-650.023438,-2.912613,0.004453,17.756073,-627.328125,-2.703697,0.000939
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,NC(CF)(CF)CF,0.251891,0.000199,15.988007,-225.585938,-3.066071,0.006352,17.100037,-339.792969,-2.587769,0.001363
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,CC(C)CCCC(C)CC=O,0.245113,0.000179,15.411041,-279.789062,-2.754417,0.004765,16.111115,-297.982422,-2.605423,0.002130
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,Cc1coc(C)n1,0.242106,0.000181,16.752167,-490.666016,-3.017990,0.005292,17.616638,-554.617188,-2.664703,0.001016
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,NC(=S)NC(N)=S,0.210951,0.000101,19.313507,-721.019531,-3.296043,0.004589,18.773224,-801.390625,-2.677544,0.001267
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,FC(F)C(Cl)C(F)F,0.240299,0.000165,17.362885,-708.933594,-3.054825,0.004859,18.208435,-587.650391,-2.713188,0.001062
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.222817,0.000123,10.950989,691.523438,-1.975975,0.002945,13.738220,1153.201172,-2.647995,0.003520
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,NNC(=O)c1ccccc1,0.263638,0.000217,16.189178,254.681641,-3.132759,0.006003,15.664307,-192.736328,-2.604141,0.003112
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,ClC=CBr,0.249796,0.000184,15.742126,-652.101562,-2.830688,0.004997,18.565247,-194.662109,-2.888161,0.001402
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,CN(C)N=O,0.239566,0.000181,18.491730,-631.738281,-3.286743,0.005213,19.057159,-739.201172,-2.732689,0.000697
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,c1ccc(C2CCCCC2)cc1,0.254711,0.000186,13.595062,-113.677734,-2.471703,0.004518,15.902985,187.566406,-2.767632,0.003241
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,N#Cc1ccncc1,0.249690,0.000199,17.837646,-562.613281,-3.122559,0.004905,17.910583,-762.542969,-2.730042,0.001170
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,CN(C)C(=S)Nc1ccccc1,0.227628,0.000160,19.356049,-877.871094,-3.231499,0.004353,18.918243,-855.033203,-2.741882,0.000119
