SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
OC1CCC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.254406,0.000209,18.112427,-237.601562,-3.092667,0.004557,14.975250,-527.269531,-2.446762,0.002000
OC1CCC1,CC(=O)Nc1ccc(C=O)cc1,0.256970,0.000204,17.445099,3.312500,-3.020058,0.004462,13.562042,-501.824219,-2.310265,0.002937
OC1CCC1,Cc1cccc(CO)c1,0.253982,0.000209,17.915344,-363.449219,-3.112198,0.004931,15.474976,-656.380859,-2.445206,0.001603
OC1CCC1,COC(C)CO,0.247869,0.000195,18.211029,-452.792969,-3.151047,0.004814,16.171875,-782.783203,-2.500153,0.001585
OC1CCC1,Nc1nc(=O)c2ccccc2o1,0.242881,0.000175,18.434387,91.552734,-3.021805,0.003578,13.082458,-498.466797,-2.254898,0.002977
OC1CCC1,CC(Cl)Br,0.281135,0.000245,13.861298,-80.251953,-2.775734,0.007186,15.743744,414.044922,-2.721886,0.001647
OC1CCC1,CCCOC(F)F,0.289802,0.000260,13.478088,60.441406,-2.712929,0.006979,15.009369,446.980469,-2.724434,0.002477
OC1CCC1,COC1CC2CCC1(C)C2(C)C,0.269596,0.000220,14.447174,-132.740234,-2.602524,0.005261,15.172943,92.691406,-2.684906,0.002472
OC1CCC1,CCC(=O)C1=NCCC1,0.252000,0.000196,16.455353,-458.019531,-2.785995,0.004558,15.577667,-532.841797,-2.468864,0.001350
OC1CCC1,NC(CF)(CF)CF,0.241665,0.000176,17.083527,-438.292969,-2.908821,0.004311,14.989594,-678.888672,-2.294243,0.001388
OC1CCC1,CC(C)CCCC(C)CC=O,0.270209,0.000230,15.468292,-161.257812,-2.768509,0.005230,15.839020,-218.154297,-2.702042,0.002268
OC1CCC1,Cc1coc(C)n1,0.235928,0.000170,18.005096,-643.695312,-2.990540,0.004273,15.210388,-749.392578,-2.299660,0.000783
OC1CCC1,NC(=S)NC(N)=S,0.234629,0.000145,16.886902,4.376953,-2.747070,0.003662,12.699951,-518.519531,-2.031258,0.002698
OC1CCC1,FC(F)C(Cl)C(F)F,0.271485,0.000230,15.250214,-275.164062,-2.865234,0.006406,16.719299,20.478516,-2.768059,0.001463
OC1CCC1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.267997,0.000214,13.387451,360.837891,-2.491516,0.005285,14.571228,392.164062,-2.710136,0.003177
OC1CCC1,NNC(=O)c1ccccc1,0.255545,0.000210,18.006134,-196.669922,-3.113686,0.004605,15.364655,-691.550781,-2.473969,0.002382
OC1CCC1,ClC=CBr,0.280844,0.000244,13.852570,-197.320312,-2.738556,0.007100,16.515259,382.539062,-2.834190,0.001596
OC1CCC1,CN(C)N=O,0.256157,0.000206,17.299652,-275.125000,-3.041466,0.005007,16.075256,-554.009766,-2.537987,0.001987
OC1CCC1,c1ccc(C2CCCCC2)cc1,0.293211,0.000261,12.803345,253.449219,-2.596489,0.006772,14.305786,692.146484,-2.786087,0.003447
OC1CCC1,N#Cc1ccncc1,0.246951,0.000191,17.521149,-520.246094,-2.930260,0.004395,16.087585,-643.830078,-2.510239,0.001259
OC1CCC1,CN(C)C(=S)Nc1ccccc1,0.245359,0.000180,17.223999,-110.251953,-2.864433,0.003850,13.652374,-352.871094,-2.275398,0.002176
OC1CCC1,CCC(N)CC,0.216843,0.000127,17.533295,-792.585938,-2.904167,0.004123,13.742920,-892.703125,-2.058998,0.000579
OC1CCC1,COC(=O)CO,0.254354,0.000204,17.308685,-262.156250,-3.070015,0.004872,15.363892,-613.966797,-2.382401,0.001882
OC1CCC1,Cc1c(N)cccc1Cl,0.255013,0.000208,17.058441,-399.738281,-2.930328,0.004778,16.574188,-487.572266,-2.645599,0.001408
OC1CCC1,CC1CCC(C(C)(C)OO)CC1,0.247526,0.000191,17.246918,-413.089844,-2.922897,0.004426,15.150208,-655.054688,-2.411201,0.001574
OC1CCC1,CC(F)(Cl)CF,0.284460,0.000253,14.140350,54.527344,-2.841751,0.007081,15.063324,369.158203,-2.655518,0.002176
OC1CCC1,CCCCC1OC(C)CC(C)(C)O1,0.262277,0.000212,15.499664,-197.302734,-2.666771,0.004490,15.501251,-355.275391,-2.637238,0.002435
OC1CCC1,CC(C)(C)OCC1CO1,0.262433,0.000219,16.250488,-322.263672,-2.849075,0.005094,16.402740,-411.796875,-2.666374,0.001656
OC1CCC1,O=P(O)(O)OP(=O)(O)O,0.155493,-0.000030,18.930573,-1008.972656,-3.304222,0.004994,4.173706,-1268.847656,-0.793335,0.001478
OC1CCC1,CC(=O)Nc1ccc(C)cc1,0.257207,0.000209,17.308136,-263.119141,-2.995255,0.004776,14.421814,-582.894531,-2.350304,0.002048
OC1CCC1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.263202,0.000211,16.825409,833.072266,-2.973595,0.003722,11.594513,317.585938,-2.226799,0.003867
OC1CCC1,CC(C)(O)CCC1CCCCC1,0.256779,0.000211,17.291718,-285.609375,-2.975777,0.004748,14.852234,-631.472656,-2.442688,0.002056
OC1CCC1,COCC(F)(F)F,0.280269,0.000244,14.056732,-3.404297,-2.749413,0.006626,14.906128,309.240234,-2.590324,0.001856
OC1CCC1,COCC(O)COC,0.247369,0.000195,18.246185,-486.929688,-3.120522,0.004672,16.344299,-768.728516,-2.523132,0.001412
OC1CCC1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.249746,0.000200,18.838135,21.628906,-3.123650,0.003740,15.109985,-660.812500,-2.584961,0.003228
OC1CCC1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.221342,0.000137,18.542999,-468.603516,-3.032906,0.003687,13.751953,-845.720703,-2.109657,0.001649
OC1CCC1,CC(C)C(F)F,0.292738,0.000262,13.052216,142.582031,-2.701385,0.007153,14.804138,558.794922,-2.739433,0.002809
OC1CCC1,CCCCC1C=C(C)CC(C)O1,0.264808,0.000212,14.746429,-163.820312,-2.569130,0.004619,15.031158,-95.046875,-2.627991,0.002539
OC1CCC1,COc1ccc(C(C)=O)cc1,0.258061,0.000209,16.786804,-260.568359,-2.892433,0.004627,14.943573,-536.376953,-2.400604,0.001888
OC1CCC1,Oc1cc(O)ncn1,0.226439,0.000147,18.287079,-339.626953,-3.095337,0.004053,13.839569,-832.625000,-2.145103,0.002101
OC1CCC1,COCCCCl,0.271036,0.000224,14.601685,-202.410156,-2.693382,0.005698,15.251038,-109.882812,-2.564392,0.001934
