SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=C1CCCC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.248983,0.000211,20.143738,-496.265625,-3.385437,0.004768,16.975342,-856.267578,-2.684547,0.001576
O=C1CCCC1,CC(=O)Nc1ccc(C=O)cc1,0.247837,0.000197,19.493622,-59.875000,-3.221672,0.003908,14.601135,-644.458984,-2.461090,0.002614
O=C1CCCC1,Cc1cccc(CO)c1,0.241296,0.000188,19.040558,-469.859375,-3.208832,0.004428,15.735779,-755.587891,-2.456413,0.001397
O=C1CCCC1,COC(C)CO,0.255815,0.000213,17.891907,-245.355469,-3.172028,0.005151,16.496460,-662.927734,-2.607376,0.002008
O=C1CCCC1,Nc1nc(=O)c2ccccc2o1,0.229959,0.000155,20.737793,326.917969,-3.149590,0.002197,11.367584,-434.226562,-2.107353,0.003525
O=C1CCCC1,CC(Cl)Br,0.247156,0.000198,18.353851,-694.593750,-3.152939,0.005130,17.863037,-736.722656,-2.720360,0.000632
O=C1CCCC1,CCCOC(F)F,0.261007,0.000221,17.275391,-494.494141,-3.018394,0.005136,16.735992,-586.009766,-2.634598,0.001325
O=C1CCCC1,COC1CC2CCC1(C)C2(C)C,0.258046,0.000206,16.468323,-174.345703,-2.815392,0.004394,15.162537,-416.931641,-2.588524,0.002799
O=C1CCCC1,CCC(=O)C1=NCCC1,0.256927,0.000219,18.131256,-472.222656,-3.133041,0.005068,16.657593,-715.712891,-2.616028,0.001391
O=C1CCCC1,NC(CF)(CF)CF,0.248098,0.000200,18.564026,-327.830078,-3.256302,0.005105,16.986572,-708.474609,-2.625305,0.001703
O=C1CCCC1,CC(C)CCCC(C)CC=O,0.261094,0.000218,17.114899,-193.222656,-2.979317,0.004879,15.750000,-568.410156,-2.633217,0.002486
O=C1CCCC1,Cc1coc(C)n1,0.255071,0.000214,18.174683,-412.705078,-3.205223,0.005348,16.934357,-693.173828,-2.635727,0.001455
O=C1CCCC1,NC(=S)NC(N)=S,0.190890,0.000065,22.104004,-890.771484,-3.342262,0.002865,15.757202,-1228.322266,-2.433334,0.002266
O=C1CCCC1,FC(F)C(Cl)C(F)F,0.227501,0.000152,20.530060,-985.302734,-3.460869,0.004603,19.033752,-951.113281,-2.768883,0.000629
