SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
O=CC(F)CF,O=P(Cl)(c1ccccc1)c1ccccc1,0.246674,0.000193,17.746002,34.652344,-3.007744,0.004284,15.696503,-603.898438,-2.649239,0.002760
O=CC(F)CF,CC(=O)Nc1ccc(C=O)cc1,0.271484,0.000235,16.488403,565.318359,-3.027359,0.004793,14.123871,-224.847656,-2.636810,0.004688
O=CC(F)CF,Cc1cccc(CO)c1,0.266850,0.000223,15.220123,503.855469,-2.928421,0.005358,13.795471,-79.808594,-2.561501,0.004405
O=CC(F)CF,COC(C)CO,0.257746,0.000211,16.514099,88.437500,-2.997345,0.004957,15.886658,-476.349609,-2.692535,0.003257
O=CC(F)CF,Nc1nc(=O)c2ccccc2o1,0.261632,0.000214,16.519623,1257.853516,-2.986618,0.003192,12.355743,265.113281,-2.628853,0.006256
O=CC(F)CF,CC(Cl)Br,0.263567,0.000210,15.097778,-75.265625,-2.665436,0.004718,14.834534,-235.253906,-2.519417,0.002582
O=CC(F)CF,CCCOC(F)F,0.267282,0.000214,15.058746,-33.070312,-2.642532,0.004573,14.506561,-241.718750,-2.538445,0.003259
O=CC(F)CF,COC1CC2CCC1(C)C2(C)C,0.248315,0.000169,13.890289,556.357422,-2.306030,0.002990,13.011902,195.015625,-2.583443,0.005305
O=CC(F)CF,CCC(=O)C1=NCCC1,0.255861,0.000200,16.303711,-204.111328,-2.741142,0.004074,15.627411,-484.181641,-2.612648,0.002660
O=CC(F)CF,NC(CF)(CF)CF,0.258416,0.000215,16.860840,-195.169922,-3.069160,0.005642,16.768280,-575.232422,-2.688828,0.002102
O=CC(F)CF,CC(C)CCCC(C)CC=O,0.252192,0.000185,15.107635,434.726562,-2.600479,0.003721,13.958771,-59.734375,-2.655861,0.004676
O=CC(F)CF,Cc1coc(C)n1,0.252965,0.000198,15.998413,-166.802734,-2.829597,0.004777,15.717072,-439.544922,-2.600182,0.002454
