SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Oc1ccccn1,O=P(Cl)(c1ccccc1)c1ccccc1,0.241312,0.000185,18.312317,-583.181641,-3.057915,0.004471,15.611237,-727.939453,-2.425507,0.001000
Oc1ccccn1,CC(=O)Nc1ccc(C=O)cc1,0.243227,0.000189,18.607147,-478.097656,-3.121094,0.004517,14.993042,-754.080078,-2.368912,0.001433
Oc1ccccn1,Cc1cccc(CO)c1,0.250745,0.000205,17.924072,-415.060547,-3.064995,0.004765,15.720093,-645.699219,-2.488548,0.001281
Oc1ccccn1,COC(C)CO,0.228860,0.000161,18.828278,-606.464844,-3.057861,0.003902,15.833038,-887.029297,-2.448517,0.001228
Oc1ccccn1,Nc1nc(=O)c2ccccc2o1,0.240071,0.000180,18.511597,-253.968750,-3.048721,0.003867,14.089447,-684.921875,-2.302185,0.002241
Oc1ccccn1,CC(Cl)Br,0.291346,0.000260,12.828186,23.697266,-2.690041,0.007624,15.641083,664.916016,-2.828613,0.002200
Oc1ccccn1,CCCOC(F)F,0.292571,0.000259,12.582764,193.527344,-2.586563,0.006957,14.344849,716.498047,-2.726250,0.002948
Oc1ccccn1,COC1CC2CCC1(C)C2(C)C,0.258721,0.000187,13.436859,-178.136719,-2.290489,0.004321,14.486938,162.634766,-2.563156,0.002674
Oc1ccccn1,CCC(=O)C1=NCCC1,0.232429,0.000157,16.566895,-745.126953,-2.659813,0.003930,15.789764,-639.921875,-2.420898,0.000572
Oc1ccccn1,NC(CF)(CF)CF,0.225310,0.000142,16.892273,-636.080078,-2.812943,0.004107,13.982574,-764.835938,-2.111610,0.000775
Oc1ccccn1,CC(C)CCCC(C)CC=O,0.252331,0.000190,15.393463,-423.718750,-2.601883,0.004512,15.366913,-323.572266,-2.518364,0.001616
Oc1ccccn1,Cc1coc(C)n1,0.213433,0.000121,17.699738,-875.732422,-2.841064,0.003693,14.268799,-866.000000,-2.093468,0.000230
Oc1ccccn1,NC(=S)NC(N)=S,0.233777,0.000162,17.844177,-183.296875,-2.990631,0.003949,15.892731,-658.242188,-2.464417,0.002061
Oc1ccccn1,FC(F)C(Cl)C(F)F,0.284043,0.000252,13.564056,-45.546875,-2.757759,0.007317,16.256683,395.007812,-2.811020,0.001687
Oc1ccccn1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.272173,0.000211,11.458130,922.410156,-2.250725,0.005062,12.419464,1002.906250,-2.596725,0.004490
Oc1ccccn1,NNC(=O)c1ccccc1,0.236661,0.000179,19.173248,-519.611328,-3.172859,0.004172,15.623199,-835.996094,-2.435013,0.001410
Oc1ccccn1,ClC=CBr,0.291022,0.000255,12.496429,17.712891,-2.610138,0.007483,15.360870,701.289062,-2.793289,0.002391
Oc1ccccn1,CN(C)N=O,0.234944,0.000167,18.256897,-722.033203,-3.078171,0.004699,16.731262,-745.775391,-2.530998,0.000774
Oc1ccccn1,c1ccc(C2CCCCC2)cc1,0.295354,0.000254,11.587311,419.080078,-2.393166,0.006484,13.132202,913.199219,-2.692558,0.004261
Oc1ccccn1,N#Cc1ccncc1,0.232964,0.000162,17.701416,-750.509766,-2.884140,0.004131,15.684601,-762.386719,-2.379906,0.000628
Oc1ccccn1,CN(C)C(=S)Nc1ccccc1,0.254937,0.000207,16.574585,-289.384766,-2.914062,0.005070,15.944977,-312.052734,-2.583916,0.001292
Oc1ccccn1,CCC(N)CC,0.187159,0.000058,17.095520,-959.705078,-2.782394,0.003681,10.608673,-1033.974609,-1.561409,0.000409
Oc1ccccn1,COC(=O)CO,0.244346,0.000192,18.404297,-482.011719,-3.124222,0.004505,16.239929,-733.072266,-2.509605,0.001228
