SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
S=C(Cl)Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.256106,0.000206,19.773804,-90.666016,-3.277084,0.004228,14.134430,-547.388672,-2.371452,0.002232
S=C(Cl)Cl,CC(=O)Nc1ccc(C=O)cc1,0.277631,0.000224,16.583832,1295.093750,-2.942566,0.003213,9.639832,276.541016,-2.175316,0.006066
S=C(Cl)Cl,Cc1cccc(CO)c1,0.279803,0.000239,16.409149,682.400391,-3.083420,0.004427,11.716980,-84.531250,-2.304070,0.004766
S=C(Cl)Cl,COC(C)CO,0.270076,0.000224,17.061890,290.671875,-3.114975,0.004412,14.174438,-415.648438,-2.460564,0.003752
S=C(Cl)Cl,Nc1nc(=O)c2ccccc2o1,0.259326,0.000190,16.611420,1911.730469,-2.772903,0.001555,8.718750,821.771484,-2.190834,0.006431
S=C(Cl)Cl,CC(Cl)Br,0.266225,0.000231,18.036499,-308.390625,-3.244331,0.005603,15.498383,-543.246094,-2.441475,0.001530
S=C(Cl)Cl,CCCOC(F)F,0.274665,0.000242,17.078247,-98.919922,-3.133209,0.005618,14.673157,-474.767578,-2.422348,0.002361
S=C(Cl)Cl,COC1CC2CCC1(C)C2(C)C,0.258571,0.000219,18.226105,-309.306641,-3.204964,0.005027,16.763458,-756.843750,-2.696030,0.002173
S=C(Cl)Cl,CCC(=O)C1=NCCC1,0.261796,0.000219,18.344055,-169.427734,-3.208839,0.004818,15.962891,-705.890625,-2.618370,0.002515
S=C(Cl)Cl,NC(CF)(CF)CF,0.267777,0.000217,16.630615,338.316406,-3.081215,0.004744,13.406708,-304.320312,-2.318176,0.003498
S=C(Cl)Cl,CC(C)CCCC(C)CC=O,0.263353,0.000223,18.337646,-186.447266,-3.237122,0.005032,15.412384,-668.472656,-2.549896,0.002412
S=C(Cl)Cl,Cc1coc(C)n1,0.260871,0.000217,18.704956,-191.126953,-3.253464,0.004851,15.514252,-641.574219,-2.520409,0.002288
S=C(Cl)Cl,NC(=S)NC(N)=S,0.235988,0.000139,16.919250,1386.011719,-3.113731,0.004091,10.536987,769.855469,-2.020416,0.003503
S=C(Cl)Cl,FC(F)C(Cl)C(F)F,0.271491,0.000232,16.914062,-51.761719,-3.143631,0.005618,14.006531,-265.339844,-2.248772,0.001883
S=C(Cl)Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.269179,0.000219,15.000519,747.265625,-2.885712,0.004633,12.082397,138.550781,-2.291649,0.004402
S=C(Cl)Cl,NNC(=O)c1ccccc1,0.279065,0.000231,16.321259,899.185547,-3.032562,0.004030,11.109253,35.318359,-2.220741,0.005176
S=C(Cl)Cl,ClC=CBr,0.268064,0.000233,17.419037,-321.095703,-3.167534,0.005806,15.438324,-539.185547,-2.428780,0.001635
S=C(Cl)Cl,CN(C)N=O,0.258558,0.000202,18.039825,-38.275391,-3.162170,0.004613,15.252106,-536.386719,-2.422325,0.002429
S=C(Cl)Cl,c1ccc(C2CCCCC2)cc1,0.270457,0.000239,17.780762,-180.814453,-3.198074,0.005537,15.030090,-603.560547,-2.501450,0.002477
S=C(Cl)Cl,N#Cc1ccncc1,0.257715,0.000207,19.122894,-137.789062,-3.246407,0.004472,15.579346,-684.095703,-2.559181,0.002556
S=C(Cl)Cl,CN(C)C(=S)Nc1ccccc1,0.265192,0.000215,18.187378,156.468750,-3.146072,0.004420,13.790253,-370.671875,-2.369339,0.002760
S=C(Cl)Cl,CCC(N)CC,0.259703,0.000215,17.867493,-122.115234,-3.195312,0.005003,16.279541,-694.755859,-2.653145,0.002603
S=C(Cl)Cl,COC(=O)CO,0.268984,0.000217,16.599854,540.822266,-3.147278,0.004226,12.325378,-76.833984,-2.192245,0.004014
S=C(Cl)Cl,Cc1c(N)cccc1Cl,0.266437,0.000220,17.229156,123.140625,-3.164360,0.005031,14.634735,-435.226562,-2.469139,0.002941
S=C(Cl)Cl,CC1CCC(C(C)(C)OO)CC1,0.277847,0.000241,16.713196,491.982422,-3.077141,0.004380,13.324890,-294.820312,-2.534004,0.004589
S=C(Cl)Cl,CC(F)(Cl)CF,0.270523,0.000234,17.403809,-166.406250,-3.184959,0.005555,14.535828,-380.343750,-2.323929,0.001790
S=C(Cl)Cl,CCCCC1OC(C)CC(C)(C)O1,0.262964,0.000224,18.419800,-175.115234,-3.208313,0.004793,15.988190,-754.617188,-2.667854,0.002784
S=C(Cl)Cl,CC(C)(C)OCC1CO1,0.263462,0.000221,18.219666,-163.248047,-3.214767,0.004901,15.728333,-676.199219,-2.583603,0.002520
S=C(Cl)Cl,O=P(O)(O)OP(=O)(O)O,0.181105,0.000052,14.708984,4351.541016,-2.172134,-0.002620,5.843903,2702.255859,-2.230118,0.009697
S=C(Cl)Cl,CC(=O)Nc1ccc(C)cc1,0.279950,0.000237,16.902161,753.044922,-3.032509,0.004067,11.714905,-53.121094,-2.350426,0.004775
S=C(Cl)Cl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.238942,0.000151,18.329620,966.365234,-3.253395,0.003795,10.988922,453.328125,-2.073631,0.002894
S=C(Cl)Cl,CC(C)(O)CCC1CCCCC1,0.281289,0.000248,16.650726,550.486328,-3.068848,0.004420,12.632019,-169.476562,-2.449860,0.004570
S=C(Cl)Cl,COCC(F)(F)F,0.270799,0.000230,16.460236,59.583984,-3.090302,0.005403,14.564667,-347.009766,-2.390320,0.002606
S=C(Cl)Cl,COCC(O)COC,0.266649,0.000219,17.483887,77.013672,-3.137169,0.004599,14.761261,-553.003906,-2.463890,0.003122
S=C(Cl)Cl,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.268378,0.000207,16.241058,1623.710938,-2.889801,0.002429,10.141113,488.261719,-2.367065,0.006672
S=C(Cl)Cl,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.263703,0.000197,16.203674,1403.523438,-2.980171,0.002979,10.339539,443.117188,-2.228600,0.005889
S=C(Cl)Cl,CC(C)C(F)F,0.272805,0.000239,16.979065,-142.718750,-3.134621,0.005706,14.691223,-453.628906,-2.397980,0.002116
S=C(Cl)Cl,CCCCC1C=C(C)CC(C)O1,0.259525,0.000219,18.533325,-208.830078,-3.214523,0.004792,16.252716,-750.964844,-2.681358,0.002535
S=C(Cl)Cl,COc1ccc(C(C)=O)cc1,0.266546,0.000222,18.166534,-48.402344,-3.177673,0.004779,14.567139,-527.869141,-2.429253,0.002503
S=C(Cl)Cl,Oc1cc(O)ncn1,0.270606,0.000207,13.927917,2070.378906,-2.805344,0.002512,9.143738,848.728516,-2.263939,0.008056
S=C(Cl)Cl,COCCCCl,0.266735,0.000226,17.694275,-180.460938,-3.186913,0.005274,15.804474,-625.341797,-2.557442,0.002366
S=C(Cl)Cl,CCCOC,0.261109,0.000220,17.751526,-273.945312,-3.188210,0.005210,16.828186,-737.162109,-2.681671,0.002237
S=C(Cl)Cl,Fc1c(F)c(F)c(F)c(F)c1F,0.271561,0.000235,16.381104,40.843750,-3.018730,0.005497,13.799286,-339.287109,-2.347313,0.002604
S=C(Cl)Cl,CCP(CC)CC,0.260887,0.000220,17.911682,-243.613281,-3.163139,0.005059,16.288025,-722.433594,-2.648041,0.002349
S=C(Cl)Cl,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.261589,0.000220,18.696869,-124.826172,-3.195717,0.004534,15.688416,-772.636719,-2.673920,0.003101
S=C(Cl)Cl,Fc1cc(F)c(F)cc1F,0.272060,0.000238,16.761444,-82.769531,-3.120979,0.005670,14.231415,-402.468750,-2.332214,0.002250
S=C(Cl)Cl,CCCCc1ccc(C(=O)O)cc1,0.279417,0.000238,16.306152,818.263672,-3.052605,0.004161,11.972137,-91.119141,-2.454872,0.005406
S=C(Cl)Cl,C=Cc1c(C)cc(C)cc1C,0.269931,0.000239,18.090302,-223.445312,-3.239784,0.005588,15.065308,-620.421875,-2.487061,0.002422
S=C(Cl)Cl,C=C(C)C(=O)OC(C)(C)C,0.265382,0.000227,18.242584,-200.662109,-3.231049,0.005246,15.353943,-646.169922,-2.538010,0.002375
